,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
s_Acetobacter_sp._SLV-7,31,47,80,34,33,20,53,89,31,92,29,70,21,114,609,34
s_Roseburia_inulinivorans,261,332,319,161,172,143,255,385,286,152,208,469,125,274,1408,108
s_Faecalibaculum_rodentium,24010,34980,152101,134977,28361,71805,20502,6743,6951,153470,62667,131110,44679,12362,3972,14920
s_Entomoplasma_freundtii,109,114,91,66,47,79,60,87,66,93,61,135,122,121,568,56
s_Chlamydia_caviae,103,154,112,83,88,70,37,98,104,88,105,224,89,74,382,66
s_Bifidobacterium_pseudolongum,99410,217502,182809,159523,213613,338702,12033,2935,195005,116132,29967,56102,17936,128506,9123,285975
Urobilin,0,0,0,0,0,0,0,0,0,5245,13247,0,0,18011,24037,0
Sumaresinolic acid,15874,0,0,2361,11902,0,7212,27227,0,0,0,0,0,37491,6618,23686
Urobilin (NIST14),0,0,2527,0,2918,0,0,0,0,0,0,0,0,8883,11570,897
Urobilin (NIST14).1,0,0,0,0,0,0,0,0,0,6703,0,0,0,0,0,0
Urobilin (NIST14).2,0,0,0,0,0,0,0,3499,0,6519,9531,0,0,23016,0,0
Urobilin (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0
Urobilin (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,6406,0,0
Tris(2-butoxyethyl) phosphate (NIST14),0,0,0,0,0,0,0,17026,0,0,0,0,0,0,0,0
Phe-Pro (NIST14),0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0
Oleoyl L-carnitine (NIST14),0,0,0,0,0,0,0,0,6083,0,0,0,0,0,0,0
9(10)-EpOME (NIST14),14911,0,0,0,0,0,7102,0,0,0,34071,0,0,0,23638,13236
phosphoethanolamine (NIST14),0,0,7738,8114,34979,11030,0,0,29909,0,0,0,0,9865,8318,12651
phosphocholine (NIST14),15425,19040,31150,27744,46552,28440,19034,13506,38848,15738,0,8514,22912,37553,22670,36385
phosphocholine (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphocholine (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphocholine (NIST14).3,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0
phosphoethanolamine (NIST14).1,0,0,0,0,0,0,0,0,0,10767,0,0,0,4380,4242,0
phosphocholine (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricinoleic Acid methyl ester,0,45589,0,48658,33017,0,0,0,19288,9889,8395,0,20777,0,0,0
Phytomonic acid,38632,152386,39215,118858,236305,164745,41920,71285,434919,34611,37765,152752,115298,244871,0,110448
Phytomonic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenol,0,7854,0,9056,45401,21702,0,0,60320,0,0,14946,3090,18468,0,0
PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC(0:0/18:0); [M+H]+ C26H55N1O7P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl-L-carnitine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleic acid methyl ester,0,0,0,0,58098,0,0,0,43996,0,38356,0,0,0,0,0
Oleanolic acid methyl ester,50561,44436,44995,52516,188271,104209,20324,1940,37321,34438,78853,78915,61734,26237,33947,60986
Oleanolic acid,0,4267,0,0,10182,4511,4328,16075,0,0,0,0,0,7389,0,0
4-dihydroxyheptadec-16-en-2-yl acetate,0,0,10700,0,15247,36541,0,0,60229,0,0,0,0,9555,0,0
4-dihydroxyheptadec-16-en-2-yl acetate.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid.1,0,4870,15731,15534,16948,7165,3768,0,25235,3232,12487,0,10708,21460,14186,12277
(E)-3-(4-methoxyphenyl),0,0,0,0,3270,0,1075,0,0,0,0,0,0,0,0,1450
(E)-3-(4-methoxyphenyl).1,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,1431,0
Methyl γ -linolenate,0,0,0,0,8654,26180,0,0,0,0,0,0,0,0,0,0
Medicagenic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicagenic acid.1,0,0,0,0,0,9379,0,0,0,0,0,0,0,13294,4350,0
Linoleic acid methyl ester,0,8831,0,0,81244,14055,4490,0,61612,0,0,20083,4934,25691,0,25488
Hederagenin,0,0,4884,0,0,8096,15019,6218,14411,0,0,7669,0,7569,11522,13714
Genistein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinocystic acid,18033,6884,14231,0,0,2736,0,0,0,0,0,0,0,19329,15945,0
Daidzin,0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0
Coproporphyrin I,0,0,2243,0,0,0,0,0,7126,3273,8175,2045,4476,0,4770,0
Coproporphyrin I.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3127,0,0
"cis-5,8,11,14-Eicosatetraenoic acid",7853,5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid.1",5961,0,4968,6988,0,0,0,0,0,4189,6685,0,0,0,7791,0
cis-12-Octadecenoic acid methyl ester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramide (18:1/16:0),0,0,0,0,0,0,0,0,3287,0,0,0,0,1570,0,1896
Caulophyllogenin,7057,0,1766,14030,7439,2677,0,0,8085,3471,0,4014,0,0,0,0
Bacosine,72601,3751,85668,0,251083,81569,74503,91955,0,0,0,0,0,0,91090,4532
Bacosine.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Oxo-10E,12Z-octadecadienoic acid",0,0,0,0,0,8337,0,0,0,0,0,0,0,0,0,11201
5-Hexenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8036,0
4-Cholestenone,0,0,3457,0,0,0,0,0,0,0,0,0,0,0,0,0
3β -Hydroxy-5-cholestenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Hydroxykynurenine,15149,0,0,0,109892,52032,0,0,4007,0,0,0,0,131702,0,0
25(S)-26-Hydroxycholesterol,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0
17-Octadecynoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Palmitoyl-sn-glycero-3-phosphocholine,69196,54981,117275,35704,63940,76174,56964,27484,110207,38557,43303,31460,40654,55547,49294,186922
1-Palmitoyl-sn-glycero-3-phosphocholine.1,0,0,0,0,0,0,0,0,4119,0,2509,0,0,3811,3285,0
1-Hexadecyl-sn-glycero-3-phosphocholine,0,0,0,0,3858,2462,0,0,0,0,22402,0,0,0,0,0
(+)-Fluprostenol lactone diol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
