OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
22,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
23,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
24,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
25,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
26,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
27,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
28,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
29,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
30,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
31,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
32,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
33,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
34,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
35,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
36,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
37,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
38,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
39,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
40,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
41,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
42,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
43,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
44,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,.beta.-Muricholic acid,B-Muricholic acid,.beta.-Muricholic acid
45,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
46,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
47,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
48,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
49,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
50,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
51,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
52,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
53,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
54,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
55,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
56,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
57,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
58,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
59,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
60,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,.gamma.-Muricholic acid,γ-Muricholic acid,.gamma.-Muricholic acid
