OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
125,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
126,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
127,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
128,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
129,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
130,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
131,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
132,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
133,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
134,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
135,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14),Deoxycholic acid (NIST14)
136,Lithocholic acid (NIST14),Lithocholic acid (NIST14),Lithocholic acid (NIST14),Lithocholic acid (NIST14),Lithocholic acid (NIST14),Lithocholic acid (NIST14),Lithocholic acid (NIST14)
137,Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14)
138,Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14)
139,Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14)
140,Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14),Taurocholic acid(NIST14)
141,Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14)
142,Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14)
143,Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14)
144,Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14),Ursodeoxycholic acid (NIST14)
145,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid
146,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid
147,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid
148,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid
149,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid,Taurocholic acid
150,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate,Taurocholic Acid Sulfate
151,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid,Tauroursodeoxycholic acid
152,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid,Tryptophan Conjugated Muricholic Acid
153,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
154,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
155,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
156,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
157,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
158,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
159,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
160,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid,Ursocholic acid
161,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid
162,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid
163,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid
164,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid,Ursodeoxycholic acid
165,Ursodiol,Ursodiol,Ursodiol,Ursodiol,Ursodiol,Ursodiol,Ursodiol
