570.T5_BF5_01_33362,571.T5_BF6_01_33363,572.T5_BF7_01_33364,573.T5_BF8_01_33365,574.T5_BF9_01_33366,575.T5_BF10_01_33367,576.T5_BF11_01_33368,577.T5_BF12_01_33369,578.T5_BG1_01_33371,580.T5_BG2_01_33372,581.T5_BG3_01_33373,582.T5_BG4_01_33374,583.T5_BG5_01_33375,584.T5_BG6_01_33376,585.T5_BG7_01_33377,586.T5_BG8_01_33378,588.T5_BG9_01_33379,589.T5_BG10_01_33380,590.T5_BG11_01_33381,591.T5_BG12_01_33382,592.T5_BH1_01_33384,593.T5_BH2_01_33385,594.T5_BH3_01_33386,595.T5_BH4_01_33387,596.T5_BH5_01_33388,597.T5_BH6_01_33389,598.T5_BH7_01_33390,599.T5_BH8_01_33391,600.T5_BH9_01_33392,601.T5_BA1_01_33398,602.T5_BA2_01_33399,603.T5_BA3_01_33400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4271,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,1333,15725,6239,10817,0,0,0,0,2125,11181,9531
14911,0,0,0,0,0,7102,0,0,0,34071,0,0,0,23638,13236,15145,47699,28159,0,0,0,96169,0,46752,0,0,13875,15298,13846,0,0
0,24677,29827,0,36548,21361,0,0,32930,0,26798,0,0,0,0,71607,64153,59147,0,0,0,54544,98338,204480,157417,0,68606,73056,35928,165837,67490,128199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036,0,0,0,0,0,0,0
66649,57998,58772,69380,51434,19774,53657,0,45636,32443,99169,0,0,37508,65798,114549,143775,213181,71700,68202,0,201433,290703,246172,330153,0,109529,195984,112545,332465,86568,129707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87023,97102,45286,37108,91310,86989,22997,18749,117725,82450,145978,60396,24239,40163,59384,70968,75314,84654,91670,52107,48011,86813,116531,184457,394443,249684,36784,121803,96791,167708,95898,273014
0,0,0,3345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19875,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15140,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8654,26180,0,0,0,0,0,0,0,0,0,0,0,0,22663,0,0,0,0,0,11380,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8722,0,0,5563,0,6052,0,0,6458,9280,0,0,0,0,0,0,0,0,4651,10779,0,0,4938,0,17138,0,16194
0,0,0,0,0,8337,0,0,0,0,0,0,0,0,0,11201,0,0,12738,0,0,9551,17398,0,70253,0,5986,19945,0,6003,0,5242
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6836,25099,0,0,9937,0,0,0,0
0,8831,0,0,81244,14055,4490,0,61612,0,0,20083,4934,25691,0,25488,0,0,98591,11582,40424,0,14245,0,45572,30485,0,0,9218,0,0,0
0,0,0,0,0,8120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3132,0,0
0,0,0,0,0,0,0,0,0,7090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5395,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13158,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6901,0,0,0,0,12463,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3570,0,0,0,0,0,0,0,0,4499,0,0
0,0,0,0,12883,0,0,0,19282,0,0,5499,6608,12460,0,0,0,0,0,7904,15408,0,7978,17667,0,19932,0,17714,0,0,6507,6608
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3873,0,0,0,0,0,0,0,0,0
52091,60378,58255,46103,46930,28105,44099,0,34295,0,76651,0,0,0,62561,89935,82620,135957,53488,15057,0,122924,229216,260836,157340,0,70786,181581,48344,210029,85712,99515
0,0,0,0,12011,0,0,0,0,0,0,0,0,0,0,9986,0,5355,9907,0,0,14893,29666,42398,56998,0,6235,28167,19553,29889,0,0
0,0,0,0,0,0,0,0,5687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38632,152386,39215,118858,236305,164745,41920,71285,434919,34611,37765,152752,115298,244871,0,110448,0,0,379521,209677,464874,14154,25660,49597,137810,817717,0,30230,61448,0,30754,76560
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14188,0,0,0,0,0,0,19101,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8260,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5417,0,0,0,0,6286,0,0,0,0
31059,35875,28407,14074,50628,30532,20060,7334,18916,2482,42909,0,0,0,15273,24391,15424,57699,56069,0,0,49716,58727,219075,178668,5281,31997,129637,32370,52661,28605,224710
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,0,0,0,0,0,0,2879,0,3028,0,0
13330,23847,2164,0,0,6724,0,0,12917,13319,0,0,0,13960,15460,9127,31352,49638,17864,24917,4592,25634,50018,73219,4256,0,0,0,0,111014,0,43412
0,0,0,10207,68952,0,0,0,22021,5441,0,0,0,8979,0,0,0,0,19210,15053,39209,28865,25721,22306,130309,48472,18351,36046,0,0,0,39887
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33266,0,0,5955,0,0,0,0,0,0,0,0,0,0,0,0,5165,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795,0,0,0,0,0,0,0,0,0
