570.T2_RF5_01_33130,571.T2_RF6_01_33131,572.T2_RF7_01_33132,573.T2_RF8_01_33133,574.T2_RF9_01_33134,575.T2_RF10_01_33135,576.T2_RF11_01_33136,577.T2_RF12_01_33137,578.T2_RG1_01_33139,580.T2_RG2_01_33140,581.T2_RG3_01_33141,582.T2_RG4_01_33142,583.T2_RG5_01_33143,584.T2_RG6_01_33144,585.T2_RG7_01_33145,586.T2_RG8_01_33146,588.T2_RG9_01_33147,589.T2_RG10_01_33148,590.T2_RG11_01_33149,591.T2_RG12_01_33150,592.T2_RH1_01_33152,593.T2_RH2_01_33153,594.T2_RH3_01_33154,595.T2_RH4_01_33155,596.T2_RH5_01_33156,597.T2_RH6_01_33157,598.T2_RH7_01_33158,599.T2_RH8_01_33159,600.T2_RH9_01_33160,601.T2_RH10_01_33161,602.T2_RH11_01_33162,603.T2_RH12_01_33163
0,0,0,0,0,0,0,0,0,0,0,16268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26344,0
0,34704,0,65373,0,0,0,60903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9629,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,31185,46275,0,0,45223,0,0,0,14370,0,0,0,29874,27510,0,0,11748,15800,0,11567,0,0,13255
0,0,0,0,0,0,0,12207,0,0,10290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2581,0,0,0,0,0,0,0,0,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14550,0,0,0,0,0,0,0,0,0,0,0,0,0,4421
0,0,0,0,0,0,0,0,0,0,0,0,0,16693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26003,0
0,0,0,0,0,0,0,0,0,0,0,76983,0,0,34538,36464,35677,0,0,0,0,0,0,0,0,0,0,0,0,0,296816,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6697,0,0,18793,0,0,0,0,0,0,0,0,4231,0,0
8373,0,18517,5663,0,0,0,48497,10243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18272,0,0,0,19202,0,0,0,0,16677,0,0,0,0,6825
0,0,6922,0,0,6768,0,4789,0,0,0,7137,0,0,0,7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6439,0,0,0,0,0,15894,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11855,0,0,0,25093,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,870,0,0,0,0,0,0,0,0,0,0,0,2974,0,0,0,11745,0,1296,5621,5903,4801,2226,5150,705,3224,2813,3354,0,0,10020
0,9643,22765,0,0,0,0,0,32349,0,0,0,0,0,0,58670,0,0,0,0,0,19802,0,0,0,0,0,0,0,0,0,0
19534,70718,0,21361,0,38882,0,13583,11928,0,22674,0,0,60373,0,15161,0,11579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,109718,38939,47628,21119,82164,31486,27808,9052,14615,72945,38581,0,197178,13944,112396,51858,0,75326,24463,7826,81005,46597,28430,13707,32063,0,24493,26069,23342,107021,18577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23737,42082,25115,58675,75917,53026,0,0,82032,0,36240,153528,57498,81486,138201,52598,158039,9483,29266,14367,63985,0,0,5675,36111,0,0,0,24801,13677,432308,17593
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3370,0,0,3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15551,0,0,0,0,0,9987,0,0,0,0,0,6818,0,0,0,0,0,0,0,0,0,0,4661,0,7197,0,0,0,0
5788,0,6237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
