572.T3_BA3_01_33169,597.T3_BC2_01_33194,589.T3_BB6_01_33185,584.T3_BB2_01_33181,590.T3_BB7_01_33186,598.T3_BC3_01_33195,577.T3_BA8_01_33174,599.T3_BC4_01_33196,588.T3_BB5_01_33184,581.T3_BA11_01_33177,595.T3_BB12_01_33191,585.T3_BB3_01_33182,594.T3_BB11_01_33190,570.T3_BA1_01_33166,592.T3_BB9_01_33188,575.T3_BA6_01_33172,571.T3_BA2_01_33168,580.T3_BA10_01_33176,576.T3_BA7_01_33173,583.T3_BB1_01_33180,602.T3_BC7_01_33199,603.T3_BC8_01_33200,573.T3_BA4_01_33170,582.T3_BA12_01_33178,574.T3_BA5_01_33171,600.T3_BC5_01_33197,578.T3_BA9_01_33175,596.T3_BC1_01_33193,586.T3_BB4_01_33183,601.T3_BC6_01_33198,591.T3_BB8_01_33187,593.T3_BB10_01_33189
0,0,0,0,6831,0,5651,0,0,5378,0,0,0,0,0,0,0,2775,0,0,0,3272,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5735,0,0,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,0,0,0
22274,30067,0,0,0,26256,78369,38613,0,0,38197,0,0,0,20169,0,38429,0,0,0,0,0,0,0,0,0,0,0,0,0,28409,0
0,35690,39045,0,61131,12306,15259,0,40103,15051,17195,0,52725,0,16936,82777,56524,0,0,0,0,0,18093,97214,0,0,0,0,13409,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5788,0,0
41836,144441,104109,0,73272,106104,181792,103802,59612,52101,95523,0,106382,13276,111587,67679,104499,67035,49600,20645,0,21898,27657,127154,14680,17929,48157,35762,30410,122523,94595,29405
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53514,102590,176794,0,98382,26989,70265,54916,52890,55656,123228,78722,66840,2872,59385,98431,22473,54770,38465,36071,80963,107217,56114,129486,20820,87272,95570,40335,32308,117506,43249,39628
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,31091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5906,0,0,0,14172,0,0,0,0,0,0,0,0,0,10583,0,9036,0,0,0,0,0,0,0,0,0
0,0,0,0,9521,0,15963,0,4345,8962,12341,0,0,0,0,5360,0,0,0,0,6229,0,9367,7449,0,0,0,0,0,10935,0,0
0,0,0,0,0,0,0,8487,9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87905,9099,6410,13977,11864,0,11127,0,9601,0,107920,31417,0,21122,0,9267,10003,0,32446,15289,33644,40796,36712,0,12577,14858,3643,0,0,13494,0,9224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877,0,0
0,0,5048,0,0,0,0,0,0,0,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8201,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,31347,0,0,5610,0,0,0,0,0,0,0,0,0,16059,0,0,0,0,0,0,0,5468,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5002,0,0,3736,5077,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,15721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,87943,64121,0,81585,51496,112636,71821,59170,0,54914,16998,66954,0,0,49058,141080,0,0,0,0,0,24569,109440,22323,0,50793,0,0,91100,36632,0
24863,0,9133,0,0,0,0,0,7628,0,0,0,0,0,21829,0,0,0,0,0,0,3950,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4371,0,0,0,0,0,0,0,0
421763,62788,0,45823,173486,0,54738,0,76255,60666,282345,234771,0,117934,0,118592,0,98178,82254,113318,330351,314907,165255,65950,50271,178582,46543,39837,68589,104627,60700,104980
0,0,81265,0,0,0,0,0,0,0,0,0,14303,0,23356,0,0,13357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,40889,0,0,0,0,0,0,0,0,0,0,0,0,0,8355,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,37291,5556,0,0,0,0,0,0,0,0,0,0,0,0,39188,0,0,0,0,0,0,0,0,0,0
19697,46191,81126,5896,40243,19936,40054,61823,67581,0,43412,6617,25230,0,0,0,0,29919,22936,0,0,2031,41838,67798,0,15546,31129,13740,0,53869,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21091,4467,5112,29086,12408,24135,0,20558,17580,17970,2891,29831,0,21190,21299,57570,24572,0,16807,0,8730,0,0,0,0,3309,14575,11909,18866,27724,4903
0,16162,0,0,0,0,0,0,7566,0,23996,0,0,0,0,0,0,0,6057,0,10780,16996,29432,2666,0,3369,0,0,0,0,0,0
0,0,0,0,0,0,0,39259,0,0,0,0,0,0,0,0,0,0,0,0,0,52021,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205,0,0,0,0,0,0
0,0,0,0,0,0,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11793,7970,0,6829,20341,9363,17395,15968,9198,8386,22892,12099,0,12183,7593,11442,0,9142,8917,7104,0,12631,6135,10005,13830,20566,13451,0,8294,23760,7844,24898
0,0,0,0,0,0,0,0,0,0,3854,0,0,0,0,0,0,0,0,0,0,0,0,3635,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4631,0,4320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,97983,6569,0,0,3365,0,0,0,0,0,0,0,0,0,46742,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14560,0,0,0,0,4783,0,0,0,0,0,0
0,14077,0,0,0,9681,0,0,0,0,0,0,30252,14789,0,14730,0,0,0,0,0,14824,5974,0,0,5108,0,0,0,0,0,0
0,48034,0,0,5258,8536,16052,5604,0,0,0,0,22037,0,22360,0,14495,0,20903,0,4286,0,12394,6894,0,0,0,6947,0,6501,25083,0
0,6127,0,0,8836,21406,0,16649,0,0,4812,0,0,9028,0,7668,5825,0,0,0,38885,33017,18418,0,10304,33999,0,7677,0,6072,0,10554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3117,0,2151,0,0,0,0,0,0,0,0,0
17914,0,0,0,0,0,0,0,25330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,8095,0,4888,0,6850,0,0,6641,2765,0,0,0,0,0,4013,0,15843,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15244,13846,0,0,0,0,0,0,0,0,0,0,0,5811,0,0,0,0,0,0,0,10214,0
0,0,0,0,0,7991,0,0,0,0,13526,0,0,0,0,0,0,0,0,0,19754,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,22456,0,8524,10786,0,13045,0,0,0,0,0,0,0,10173,0,0,16668,5742,0,4169,0,11420,0,0,0,14895,0,0
51236,0,0,0,0,0,40149,0,19208,0,64468,28688,0,0,0,0,0,0,37256,0,12000,14397,0,0,0,0,0,0,0,0,0,0
26451,15306,23904,9589,32022,14303,3019,16603,17933,20086,36611,4350,13257,3741,4151,24682,8431,25606,12907,15599,41796,22014,24092,19307,23419,30453,12030,15189,14675,29284,6613,23279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,10374,0,8801,0,10188,0,24154,16636,14204,0,0,0,3356,2683,0,5483,13884,0,0,4273,4358,3096,0,0,0,6741,3627,6224,11190,3613,4191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6441,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3371,0,0,0,3835,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56576,21920,21506,1718,24512,0,71172,4819,15837,15827,140145,35152,0,51463,0,28258,39893,9906,29964,55156,2734,44500,46309,8777,13263,15913,15133,14406,28252,24228,31485,36803
