585.T0_RB3_01_33073,577.T0_RA8_01_33065,574.T0_RA5_01_33062,598.T0_RC3_01_33086,584.T0_RB2_01_33072,575.T0_RA6_01_33063,601.T0_RC6_01_33089,589.T0_RB6_01_33076,599.T0_RC4_01_33087,580.T0_RA10_01_33067,572.T0_RA3_01_33060,578.T0_RA9_01_33066,576.T0_RA7_01_33064,592.T0_RB9_01_33079,596.T0_RC1_01_33084,600.T0_RC5_01_33088,582.T0_RA12_01_33069,602.T0_RC7_01_33090,594.T0_RB11_01_33081,588.T0_RB5_01_33075,571.T0_RA2_01_33059,593.T0_RB10_01_33080,573.T0_RA4_01_33061,570.T0_RA1_01_33057,581.T0_RA11_01_33068,586.T0_RB4_01_33074,597.T0_RC2_01_33085,590.T0_RB7_01_33077,583.T0_RB1_01_33071,595.T0_RB12_01_33082,603.T0_RC8_01_33091,591.T0_RB8_01_33078
0,7108,3251,0,0,0,0,8514,0,0,0,0,0,0,0,0,6494,6691,5238,21963,0,5256,0,0,0,0,0,3054,5497,19727,0,0
0,0,0,0,0,0,69090,25037,0,0,273188,0,0,0,0,14841,0,0,27071,22737,0,44305,41641,0,0,0,0,0,0,0,0,52324
0,0,6359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3096,3045,0,4484,1935,0,3969,5414,3235,6165,0,0,0,0,0,0,4109,0,0,0,11933,0,0,0,0,0,4936,0,3856,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5054,0,0,0,0,0,0,0,0,0
0,21357,13891,6320,3755,4183,12521,0,7697,0,2859,0,0,5538,14561,0,14045,14394,0,0,6084,0,5456,0,7553,6749,0,3880,7292,6023,0,16701
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2375,0,0,0,0,0,0,0,3022,0,2413,0,1078,0,0,0,7912,1162,0,0,0,1953,0,0,3969,0,758,1812,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14125,5829,13611,0,14166,28718,22925,14280,0,23569,6991,26134,19741,14833,0,9986,28189,7839,25322,0,0,0,29257,0,66400,0,9591,84021,0,6650,62656,0
0,0,0,0,0,0,0,13828,0,0,0,0,0,0,0,0,0,0,0,0,11951,0,0,0,0,0,0,0,0,7764,0,0
0,0,0,0,0,4772,0,0,0,0,0,0,0,0,7471,0,0,0,0,0,0,0,6541,0,0,0,0,0,0,0,0,0
0,0,7070,0,0,0,0,69526,0,0,0,0,0,0,0,0,13967,0,0,0,48839,0,0,0,0,0,24716,0,0,46664,0,0
0,9100,0,0,0,0,0,0,0,0,0,12109,0,0,0,0,0,0,0,0,0,0,14621,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1216,0,0,0,0,0,0,0,0,0,0,0,1659,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23885,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62298,0,0,0,0,0,0,0,0,20966,0,0
0,0,31025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36604,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7187,0,0,14268,7848,5228,24980,8783,6918,0,5133,0,0,0,19338,0,7482,0,0,0,14525,0,0,0,6055,8965,0,0,16764,11007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5829,0,0,6314,5317,0,0,0,0,3365,0,13215,9986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,10230,0,0
0,0,7991,0,0,0,0,37928,0,0,0,0,0,0,0,0,10351,0,0,0,11388,0,0,0,0,0,0,0,0,13961,5279,0
0,6277,7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5877,0,6527,0,0,0,0,0,0,0,0,5137,0,6524,0
12267,21788,0,14782,13029,0,0,6505,11520,15069,7653,10323,9124,6517,7287,10515,0,15425,15034,0,8131,11813,0,0,20218,0,7425,18907,7027,7455,8674,8337
0,0,3093,0,0,5397,0,3164,0,0,0,0,31774,0,0,0,7753,0,8350,0,0,0,0,0,0,0,0,0,0,6941,0,0
0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4068,0,0
53486,0,69084,0,0,0,9980,0,0,8798,24895,0,20876,21255,0,0,0,31294,25340,0,0,0,0,0,0,0,41556,0,0,0,33730,0
0,31164,24501,45129,32499,53327,48000,45936,58688,0,0,40142,0,0,11745,0,75265,0,0,53994,177365,0,16303,0,0,0,0,63629,51622,110377,20685,26627
0,6379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48487,143933,36691,76070,52644,15894,67525,105598,45175,71504,80383,82769,55034,96908,36424,97610,148449,38005,84769,64370,148388,46665,29777,0,48306,37113,87781,139412,37701,137114,91108,34770
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6791,43333,80669,48415,0,17393,23066,63873,38837,0,34458,32255,25448,20295,28283,17214,89002,27584,22100,62064,185842,23182,67037,0,38873,28280,34738,152825,11668,30177,33734,35343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10967,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8809,0,0
0,0,0,1420,0,0,0,0,0,2714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13375,151185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9597,0,0,0,3908,0,0,6055,0,0,0,0,0,0,0,0,0,0,6965,0,8228,5398,0,0,0,0,7577,6378,0,0,0
0,9167,6789,0,0,3567,0,0,0,0,0,0,0,0,0,0,0,0,0,7992,0,0,6146,0,0,6340,0,0,0,0,8062,0
0,11773,0,0,0,0,5794,0,0,0,0,0,0,6177,0,0,0,0,0,0,0,0,0,0,0,0,7074,7845,0,0,27173,0
0,0,145459,0,0,0,0,0,0,0,0,0,0,0,0,4368,13284,0,0,0,0,0,0,0,0,0,0,0,7278,0,0,0
0,12645,117621,0,0,0,0,4840,0,0,0,0,5583,0,24410,16559,40209,9375,6417,0,0,0,43013,0,0,25195,0,24060,6494,0,21547,33021
0,0,0,0,4764,0,0,0,0,0,0,0,0,0,0,0,0,0,6201,0,0,0,0,0,0,0,0,0,0,0,5982,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4150,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6526,0,0,0,0,0,0,0,0,0,0,0,9817,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94033,39526,0,24144,41013,68611,61788,77226,52451,0,32617,77537,43060,86099,0,41755,95627,40203,29894,70379,214841,26867,31836,0,0,69751,141150,82328,68281,141576,49320,53916
0,10273,12239,0,0,0,0,7743,21814,11827,0,5444,2045,6368,0,0,32264,0,0,0,24914,0,0,0,0,0,0,0,0,0,7515,0
0,0,0,0,0,0,0,0,0,0,5626,0,0,0,29279,19864,0,0,0,0,0,0,0,0,0,0,8996,0,0,0,0,0
0,73868,195762,9491,0,11779,30392,0,14407,0,0,13393,0,11689,91882,0,60650,47805,0,35919,0,0,234058,0,0,0,0,65372,14432,0,133883,60815
0,0,0,0,0,15996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80696,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11596,0,0,0,0,0,0,0,0,0,0,0,6069,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,15304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7121,7626,7085,14234,14965,1765,35463,12428,0,0,25070,15759,5089,27067,0,71546,19472,25622,51999,3001,43095,7516,0,32986,0,24885,55826,10184,9937,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29864,27703,0,16958,1635,0,17265,0,22552,18876,27336,18851,0,25164,0,28980,10187,14017,0,2732,46311,31388,7854,0,0,14001,0,29805,1936,33575,30322,26238
0,40670,17896,0,0,0,7313,0,0,0,16571,19827,0,0,0,0,6098,0,0,11130,7762,11372,0,0,8662,0,0,10488,0,0,25475,0
0,0,0,0,0,0,0,0,4563,0,0,0,0,0,0,0,0,0,0,0,10281,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22113,12724,0,0,6212,6200,0,8527,0,1348,6122,0,11424,5342,0,0,7902,0,20432,0,11053,1916,0,0,11309,0,0,12752,0,15018,10003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,0,0,0,0,0,0,0,0,0,0,0
0,5596,0,0,0,0,0,0,24972,0,0,0,0,0,0,0,14437,0,0,0,33231,0,0,0,0,0,3086,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13700,0,7543,7231,5019,10219,17319,6371,9018,5930,14821,0,10003,7588,16373,15823,5840,0,16953,23056,0,3180,0,9176,0,30916,16293,0,0,16394,11556
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26183,340121,0,0,0,0,0,0,0,0,0,0,0,9547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28278,0
0,0,0,0,0,0,0,0,13163,0,0,6323,0,0,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,11542,0,0,0,0,0,0,0,5956,7353,10213,0,0,0,0,0,0,0,0,0,0
0,0,7916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9316,6305
0,7477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48316,64681,0,0,0,0,0,0,0,0,0,0,0,0,0,27823,11709,0,0,0,0,21339,0,0,20593,0,0,0,0,0,0
5235,15824,17950,15169,4714,0,9953,7285,0,16403,6686,0,3134,4633,24036,14840,0,15362,12279,0,6617,17498,11396,0,0,18639,10825,28378,0,0,10397,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7634,0,0
8913,6678,1748,16679,10404,6246,0,10069,30316,8891,0,9603,0,5376,6957,0,8350,3137,4066,12867,8250,13901,11662,0,17806,0,5959,4144,3372,7826,12287,4437
0,2835,0,0,0,0,0,0,0,0,0,6250,0,0,0,0,8309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5243,0,0,0,4521,5262,0,0,0,0,6121,2403,0,0,0,0,0,0,0,4761,0,0,0,0,3790,0,0,0,0,0
0,0,0,0,0,3517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,67800,23384,6386,4847,0,11678,0,29963,0,5358,11618,0,10806,36832,20717,6572,22715,13275,11225,5720,0,29518,0,0,2581,0,5961,26426,8241,0,46916
15540,0,39787,0,9725,24261,0,8548,0,0,0,8405,0,0,5956,0,28794,14847,0,0,0,4004,0,0,0,17904,17757,18150,0,0,47949,0
0,0,34721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12916,0,0,0,0,0,0,0,0,2326
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,0,0,0
1186,0,0,0,930,1377,0,0,0,1395,0,0,715,2193,0,0,0,0,1201,0,0,0,2805,0,1723,1485,0,0,1895,0,0,1117
0,6043,13843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2418,0,0,0,0,0,27151,0,0,0,0,0,0,0,0,0,0,0,9384,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2016,0,0,0,7264,22422,0,0,0,0,0,0,0,0,0,0,0,12365,3472,5586,0,0,5093,0,0,0,0,1698,0
0,0,0,0,0,0,0,0,4886,0,0,0,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12076,0,0,14026,8892,9896,4391,13548,5671,0,5749,0,6829,9068,0,18260,8766,10837,0,7106,17219,4043,0,0,15857,6711,0,4955,0,5966,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53071,60246,28362,34111,26003,41098,41899,45391,43495,15963,22884,46216,38217,48880,30796,29285,61552,28458,53221,41293,133589,19293,20098,6449,14650,41855,32145,49264,39916,84426,29515,33463
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626,0,0,0,4514,0,0,0,0,0,0,0,0,0,0,0
0,1645,29414,0,0,0,0,0,0,0,0,0,0,0,9275,0,0,0,0,0,0,0,25664,0,0,0,0,0,0,0,10536,2467
0,2571,0,3140,0,0,0,2716,0,0,0,6541,0,0,0,0,0,0,0,5556,0,0,0,0,0,0,0,3775,0,0,1077,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0,0,0,0,0
4871,0,0,19938,4240,8019,0,0,1845,0,1283,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,0,4611,0,0,9304,7193
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082,0,0,0,0,0,0,0,0,0,0,0
0,50953,8643,0,0,0,0,0,10082,0,0,0,0,0,0,0,0,0,0,0,2142,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3048,0,0,0,0,0,0,2201,0,0,0,0,0,0,0,0,0,3388,0,0,0,0,0,0,2447,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4540,0
1748,0,0,3162,1361,10638,0,7486,0,0,2294,1819,0,0,1440,0,2994,0,0,0,50610,0,6921,0,5032,0,5856,5792,0,1802,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,0,0,0,0
81165,112459,245793,54333,54746,119057,72437,67484,77944,27990,20002,68249,78999,63961,67128,64105,259901,59902,37053,129132,60985,11881,51724,0,48726,48697,38720,182116,39964,73258,102647,118298
0,28556,34871,9823,0,18456,9553,0,15194,0,12492,16977,0,0,16702,0,0,7279,11219,0,14019,27859,18785,0,0,50632,0,0,14766,0,28322,42360
0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,0,0,0,0,0,0,0
18227,17516,69254,0,19687,28707,25108,0,0,0,0,27148,0,0,21777,0,37846,21674,0,20456,46816,0,10383,0,12876,0,0,28976,14965,0,20242,31616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1906,1230,0,0,0,2906,3520,2556,2263,0,0,0,0,0,2409,2512,4242,0,0,0,0,0,0,3096,0,0,0,1639
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11642,0,0,0,11327,0,0,0,0,11491,0,0,12220,10326,0,0,12813,0,21045,0,10998,0,0,0,0,0,0,0,10973,12543
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,42184,49534,0,14823,10700,21293,15077,24626,0,13518,20422,7507,0,27031,6752,43074,33415,12021,19605,15352,0,24381,0,0,22847,18983,27094,12459,7013,26037,15367
0,0,0,0,0,0,1870,0,0,0,1410,0,0,0,2557,1358,0,0,0,0,0,2464,0,0,0,0,0,0,1682,0,2087,0
0,0,0,1181,0,0,0,0,0,1164,0,0,0,0,0,0,0,0,0,0,3473,0,0,0,0,0,1119,0,0,0,0,0
0,6568,0,0,3245,0,0,3184,0,0,0,3615,0,0,0,0,9478,0,0,0,0,4622,0,0,4131,0,3532,0,0,0,4474,0
0,0,0,0,2322,0,0,0,4307,0,0,0,0,0,0,0,0,0,0,1278,0,1046,1576,0,0,0,1891,0,0,0,0,0
0,0,0,0,0,0,0,0,5681,0,0,0,0,0,0,0,0,0,0,0,0,7052,0,0,0,0,0,0,0,0,0,0
0,18597,2946,2840,5580,2348,0,6099,7485,4496,3951,0,2499,0,0,0,17607,0,0,3452,9965,19934,13834,0,17677,0,8391,0,0,0,0,0
0,0,0,0,0,0,0,0,12420,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,0,0,0,0,0,0,0,0,0
0,0,0,0,3272,0,0,8078,0,5009,0,2031,0,0,5620,0,0,0,3791,7473,0,0,0,0,0,0,3948,0,0,4069,0,0
0,0,0,0,0,0,0,0,0,0,0,6584,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7104,0
0,0,0,0,0,0,0,0,8631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2226,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2267,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6569,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2751,0,0,0,0,0,0,0,0,8969,0,0,0,15157,0,0,0,0,0,3386,3283,0,3072,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
