,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586,T5_589,T5_591,T5_593,T5_595,T5_597,T5_599,T5_601,T5_603
γ-Muricholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.8,55831,0,45907,31625,0,64737,79242,0,36066,0,65982,51526,72320,0,27852,57654
γ-Muricholic acid.9,53752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.10,0,29690,46670,0,0,0,0,0,0,0,0,0,37566,0,0,0
γ-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,34110,0,0
γ-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.13,0,0,0,0,0,0,0,0,43537,65339,44337,0,0,0,0,0
γ-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.15,0,0,0,48595,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.16,0,0,0,0,0,0,0,0,0,34845,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.1,0,0,0,0,0,5832,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.2,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.3,0,0,0,0,0,0,0,0,0,0,0,6990,4079,0,8812,3503
Chenodeoxycholic acid,26887,3476,19533,0,0,0,0,0,5778,0,14042,0,18640,0,0,0
Cholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.1,0,0,0,0,0,0,7472,0,0,0,0,0,0,0,0,0
Cholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,8735,0,6321,0
Cholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114596,18161
Cholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.6,0,0,0,68451,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.7,0,0,0,0,0,51332,0,35289,22149,0,16802,0,0,0,0,13366
Cholic acid.8,189880,80780,24883,0,0,94659,160705,106190,91637,41073,115680,82546,62069,34899,124115,162474
Cholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,31156,0,0
Cholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester,94434,0,0,178946,35559,14499,0,14758,0,15788,0,0,51196,0,0,10602
Cholic acid methyl ester.1,25113,0,0,9559,0,0,0,0,0,0,0,0,8610,0,0,2487
Cholic acid methyl ester.2,12782,0,0,0,3447,2712,0,0,0,4443,0,0,5777,0,0,0
Deoxycholic acid,0,0,0,0,0,9671,59997,29946,0,0,0,0,0,0,0,0
Deoxycholic acid.1,0,0,0,0,0,26327,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid.2,0,0,0,0,0,0,0,0,0,0,0,21948,0,0,0,0
12-Ketodeoxycholic acid (NIST14),76916,55157,133307,14444,6673,0,72754,80914,144364,55500,0,0,0,31522,96893,50883
12-Ketodeoxycholic acid (NIST14).1,0,0,0,10374,0,0,0,12468,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).2,455667,482999,614008,325966,295384,301893,311264,312413,377974,343343,340654,405400,689551,282225,580942,508582
12-Ketodeoxycholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,20063,0,8902,27431,0,0,0
12-Ketodeoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).5,0,0,0,0,0,0,41221,0,0,0,0,58499,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14),0,0,0,53889,3746,77377,0,0,0,4129,49144,0,0,35058,0,126770
3β-Hydroxy-5-cholenoic acid (NIST14).1,99467,401534,741010,318386,129176,131467,169875,300681,415692,599657,609718,175187,0,173068,739987,38318
3β-Hydroxy-5-cholenoic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,6082,0,0,5421
3β-Hydroxy-5-cholenoic acid (NIST14).4,0,0,0,0,90568,69872,0,31453,0,86379,0,63062,114149,0,184057,167771
3β-Hydroxy-5-cholenoic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).6,627305,0,0,0,0,0,0,29509,0,413812,0,526785,455714,0,0,408618
3β-Hydroxy-5-cholenoic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,18787,0,0,0
Cholic acid (NIST14),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9755,0
Cholic acid (NIST14).3,0,0,6209,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).4,0,0,0,0,0,0,0,0,8139,0,0,0,0,0,28978,0
Cholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,560592,0,0,0,22548,0
Cholic acid (NIST14).6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
