,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
γ-Muricholic acid.5,0,0,207516,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.6,112175,108148,41328,59758,21318,85512,23086,26624,149056,119196,20571,7880,22207,47731,0,28623
γ-Muricholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.8,0,0,39485,58452,0,48196,25282,50059,55831,0,45907,31625,0,64737,79242,0
γ-Muricholic acid.9,0,62473,0,0,0,0,0,0,53752,0,0,0,0,0,0,0
γ-Muricholic acid.10,0,0,48894,26121,0,0,0,0,0,29690,46670,0,0,0,0,0
γ-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.13,46584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.15,0,0,0,0,0,0,0,0,0,0,0,48595,0,0,0,0
γ-Muricholic acid.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,5832,0,0
3β-Hydroxy-5-cholenoic acid.2,5460,0,0,0,0,0,0,0,4940,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chenodeoxycholic acid,0,0,0,0,0,0,0,0,26887,3476,19533,0,0,0,0,0
Cholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.1,6249,0,0,0,0,0,0,1398,0,0,0,0,0,0,7472,0
Cholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.6,0,0,0,41792,0,0,0,0,0,0,0,68451,0,0,0,0
Cholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,51332,0,35289
Cholic acid.8,118081,0,137665,0,157834,141839,0,0,189880,80780,24883,0,0,94659,160705,106190
Cholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.11,0,53471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester,5280,16585,0,20559,18689,39125,28567,43393,94434,0,0,178946,35559,14499,0,14758
Cholic acid methyl ester.1,0,12398,0,0,0,0,2224,8787,25113,0,0,9559,0,0,0,0
Cholic acid methyl ester.2,0,10377,0,8438,0,7093,0,2748,12782,0,0,0,3447,2712,0,0
Deoxycholic acid,0,0,52457,0,0,0,0,0,0,0,0,0,0,9671,59997,29946
Deoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,26327,0,0
Deoxycholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14),47386,19660,132827,23157,33365,22510,0,18677,76916,55157,133307,14444,6673,0,72754,80914
12-Ketodeoxycholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,10374,0,0,0,12468
12-Ketodeoxycholic acid (NIST14).2,464774,412652,307968,242794,66218,187495,215895,254243,455667,482999,614008,325966,295384,301893,311264,312413
12-Ketodeoxycholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).4,95579,0,0,0,111751,0,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41221,0
3β-Hydroxy-5-cholenoic acid (NIST14),0,0,0,0,0,0,0,0,0,0,0,53889,3746,77377,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).1,475567,932729,376167,214591,238205,208948,0,226107,99467,401534,741010,318386,129176,131467,169875,300681
