Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,Pseudobutyrivibrio_ruminis,Parabacteroides_goldsteinii,Lactobacillus_reuteri,Lactobacillus_murinus,Lactobacillus_johnsonii,Lactobacillus_gasseri,Lactobacillus_animalis,Akkermansia_muciniphila,Paenibacillus_sp._IHB_B_3084,Corynebacterium_uterequi,Borrelia_anserina,Candidatus_Arthromitus_sp._SFB-mouse-NL,Candidatus_Arthromitus_sp._SFB-mouse,Entomoplasma_freundtii,Bifidobacterium_pseudolongum
588_T2,-0.5270137992905912,-0.5270137992905912,-0.5270137992905912,-0.5270137992905912,-0.5270137992905912,-0.5270137992905912,2.9072685168156145,5.2267546919988375,1.816765803923495,5.517306688520713,2.0608867139222253,0.2771071532236933,-0.5270137992905912,0.23157652791412087,1.5511287643706666,-0.5270137992905912,-4.780852029119467,-4.428030654496725,2.4967146089636407,-1.3912601935776197,1.011457766918908,0.298878695306966,-2.600869258217754,0.39876842277349134,-1.3187284120056546,-1.6915593574849392,-3.6569219324670676,-0.342281485614488,-0.10802319465756138,-3.4746003756731128,4.214622932986732
589_T2,3.284269040911676,-0.4237223357282085,-0.4237223357282085,-0.4237223357282085,-0.1617912395632075,-0.4237223357282085,5.3651408802593625,5.04224915556813,-0.4237223357282085,4.745268470725742,2.3885402332660455,0.41218198447052856,1.8682824212544134,2.183356663141052,-0.4237223357282085,2.8398095169075495,-4.594142958124606,-5.25554144036997,0.8143298615855379,-2.5685446484655925,0.2940209076031506,-0.24324086695465308,-4.039146116045477,0.6457248388198629,-1.356097217148684,-1.1611968781478694,-2.9718843572614437,-2.9782741553602152,-2.51470141644477,-3.621410915345499,4.1251322490881
590_T2,-0.5910800280287871,-0.5910800280287871,-0.5910800280287871,-0.5910800280287871,-0.5910800280287871,-0.5910800280287871,4.660145047229625,4.997836800214991,-0.5910800280287871,4.941407456120621,1.981895721801095,-0.14996625890914306,1.6316708126278447,1.1156624537928197,0.8435807721043886,3.281269203668974,-5.12272135510135,-4.429574174541405,2.9191108517308626,-1.4300611781475077,1.7583787807258728,0.008610794935471233,-2.6923028905974187,3.1210472372892055,-1.6674567521689188,-2.4517124256794895,-3.2768946646030193,-3.039499090581608,-2.7584426931019648,-3.8070445611954122,3.7026203085869906
591_T2,2.1747894090792665,1.794908475996599,-0.755765780791589,-0.755765780791589,-0.19271162856703317,-0.755765780791589,4.507122360811218,5.001835149750812,2.856874995304606,4.147301004597228,2.111832328912345,0.19235543692518764,0.6175180622266021,0.4558644163692094,1.0393809893303825,3.9633389719578798,-5.036373642816135,-4.668648862690817,2.102793135824423,-2.8717742927959913,1.4388193601734711,-0.4708687132204741,-4.227915615745194,1.9760619205189656,-1.8051301691392716,-2.173538042728574,-3.4358643611263355,-3.5803459436815688,-3.305701865567918,-3.5700365740227076,3.225411036698618
592_T2,2.6740345678281705,-0.6015356514299386,-0.6015356514299386,-0.6015356514299386,-0.6015356514299386,-0.6015356514299386,4.6572256465845205,4.6345961780126625,3.7628038875765917,5.150392376067538,1.9063226472625576,-0.6015356514299386,1.1507528125612865,1.28915980183913,1.6954209932596473,3.0190239571441215,-6.038620736582501,-3.8932212271108684,1.8065817084673972,-0.5610167169356632,-0.28086673901487025,-0.7531123283270453,-1.8969300537632021,1.0474328653157325,-1.7394817617143863,-1.7223454794713993,-3.6490242665988246,-4.042066854708433,-4.132450916176702,-4.005699210537558,3.530302757601716
593_T2,2.534069175170831,-0.5170409793944941,-0.5170409793944941,-0.5170409793944941,-0.5170409793944941,-0.5170409793944941,4.174408504586438,5.3221533040341065,2.599893567874678,5.162895499116829,2.075586086245674,0.8010239815052342,0.2335744324908431,0.7198445361460992,1.4777733989390391,-0.5170409793944941,-3.2332166566471603,-3.9263638372071057,2.3076758604943937,-0.042851534819765114,0.0892884564393297,-0.4115964866078716,-1.3156980376927132,0.12987650546781726,-0.9559493716374048,-1.8104340022641328,-3.310448004583151,-5.522378729309066,-4.592842770684889,-3.595699942181641,4.191661941490519
594_T2,1.1410175485849958,-0.4000729224746067,-0.4000729224746067,-0.4000729224746067,-0.4000729224746067,-0.4000729224746067,4.24457889742886,4.982609327456963,-0.4000729224746067,5.142918814118199,1.4012102595389786,1.2464035838865692,-0.4000729224746067,1.104106275845579,1.4072904979432082,5.1043782521615455,-5.746152296788033,-4.992380494411654,2.0254945452690505,-1.649726568362107,0.961931787065037,-0.40322013748104535,-2.7951559170754336,0.46168291734672984,-1.5211450360458878,-1.294716210741984,-4.018931348697549,-1.874951285880142,-1.513859029314954,-4.647540008119924,4.03466608359526
595_T2,0.800958688163111,-0.7432019934027219,2.250237208654005,-0.7432019934027219,-0.7432019934027219,-0.7432019934027219,4.034693661042039,4.710930792918856,-0.7432019934027219,4.5741462183336425,2.5096777228381804,-0.7432019934027219,1.3882494338371414,1.1980020917200562,2.3820092376528335,4.418849546677945,-5.896360419211894,-5.129105266498228,2.9783673465549576,-0.9122270658611455,1.6753112612062546,0.196514544482552,-2.264865648878911,0.01651869122052929,-2.1865477554314916,-2.173451216511647,-3.7251113282789357,-3.0017242625292715,-2.6898686535434146,-4.2869225067777945,3.5909296386370255
