Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,s_Pseudobutyrivibrio_ruminis,s_Parabacteroides_goldsteinii,s_Lactobacillus_reuteri,s_Lactobacillus_murinus,s_Lactobacillus_johnsonii,s_Lactobacillus_gasseri,s_Lactobacillus_animalis,s_Akkermansia_muciniphila,s_Paenibacillus_sp._IHB_B_3084,s_Corynebacterium_uterequi,s_Borrelia_anserina,s_Candidatus_Arthromitus_sp._SFB-mouse-NL,s_Candidatus_Arthromitus_sp._SFB-mouse,s_Entomoplasma_freundtii,s_Bifidobacterium_pseudolongum
T5_588,0,0,0,0,0,0,187046,284516,145835,0,0,0,5150,0,0,0,7,229,10410,240,9120,1465,56,7894,796,746,113,99,122,65,55040
T5_589,0,43537,5778,22149,0,0,377974,415692,0,0,0,0,7679,10054,0,0,156,142,25356,291,49559,3511,56,196076,1346,576,104,102,152,56,154753
T5_590,48742,0,0,0,117115,14660,208813,0,30620,0,0,0,10222,0,0,2880,44,55,91995,704,14774,2934,222,187610,1222,987,207,151,192,93,99270
T5_591,55249,65339,0,0,15788,4443,343343,599657,86379,0,0,0,16432,0,0,0,83,60,20048,180,4979,1046,50,37521,815,574,119,101,106,48,68789
T5_592,0,68956,0,0,53276,4259,182599,633477,175743,0,0,0,24489,0,0,0,7,53,53370,550,3492,1421,154,100815,656,745,108,440,546,83,160435
T5_593,93442,44337,14042,16802,0,0,340654,609718,0,942425,42860,3412,4575,0,21099,0,8,72,25929,310,1501,773,87,28250,706,667,111,194,297,28,229455
T5_594,0,0,19370,7898,0,0,359578,464901,76475,0,0,0,17619,58014,0,0,69,93,24879,26,21154,4837,11,3841,769,590,79,779,946,25,170946
T5_595,36335,0,0,0,0,0,405400,175187,63062,0,0,3965,34439,36940,0,0,660,103,42989,132,33097,13134,26,3587,4000,511,189,874,1116,75,215291
