Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,s_Pseudobutyrivibrio_ruminis,s_Parabacteroides_goldsteinii,s_Lactobacillus_reuteri,s_Lactobacillus_murinus,s_Lactobacillus_johnsonii,s_Lactobacillus_gasseri,s_Lactobacillus_animalis,s_Akkermansia_muciniphila,s_Paenibacillus_sp._IHB_B_3084,s_Corynebacterium_uterequi,s_Borrelia_anserina,s_Candidatus_Arthromitus_sp._SFB-mouse-NL,s_Candidatus_Arthromitus_sp._SFB-mouse,s_Entomoplasma_freundtii,s_Bifidobacterium_pseudolongum
596_T2,0,0,0,0,0,0,216458,229855,0,0,27636,4977,4699,0,11788,0,22,40,36553,86,6902,3003,11,3539,521,793,78,406,573,39,139101
597_T2,0,0,0,16235,0,0,141587,730151,33422,0,39954,2648,12072,1709,8290,315038,53,49,19409,61,10460,5594,21,3168,823,635,166,1074,1343,78,209153
598_T2,0,47061,21278,0,0,0,279981,975673,88971,836109,33886,0,16779,10647,9165,36146,13,106,43212,19,2315,1247,8,77070,543,1709,113,21,14,66,142998
599_T2,180478,31552,11249,478927,0,0,233687,1034216,65458,426856,51795,2297,7950,8095,28692,89768,1264,40,22996,12,2831,1884,0,37235,7017,333,665,12,82,685,53719
600_T2,196444,0,19690,0,0,0,217700,692903,200671,454559,72577,3399,9284,7089,31525,616327,5,68,63957,489,5252,2765,108,93205,452,399,84,591,762,56,246320
601_T2,82428,0,0,0,0,0,0,657462,136338,30509,78362,0,15096,0,0,329361,96,52,97239,124,15544,8147,29,89975,1122,490,179,363,499,155,213615
602_T2,134830,0,0,0,0,0,318752,990601,37930,316460,35301,0,15123,3972,9350,230932,18,83,175451,246,9196,3339,60,181998,616,571,129,760,1037,78,379001
603_T2,122784,0,22475,38463,0,0,236024,728097,0,194934,41606,1823,21592,43299,5584,84687,17,82,98921,100,8467,3834,21,619700,558,651,130,615,845,68,493837
