Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,s_Pseudobutyrivibrio_ruminis,s_Parabacteroides_goldsteinii,s_Lactobacillus_reuteri,s_Lactobacillus_murinus,s_Lactobacillus_johnsonii,s_Lactobacillus_gasseri,s_Lactobacillus_animalis,s_Akkermansia_muciniphila,s_Paenibacillus_sp._IHB_B_3084,s_Corynebacterium_uterequi,s_Borrelia_anserina,s_Candidatus_Arthromitus_sp._SFB-mouse-NL,s_Candidatus_Arthromitus_sp._SFB-mouse,s_Entomoplasma_freundtii,s_Bifidobacterium_pseudolongum
578_T2,134144,0,20543,0,62100,0,518300,107783,0,0,13575,0,0,11631,0,0,45,21,60347,474,8957,4196,154,2841,868,522,153,93,127,69,508654
580_T2,46738,0,0,0,2667,0,190461,0,28684,0,9779,0,0,0,0,59602,667,46,55194,758,4775,2706,200,13813,4316,472,512,12,76,395,74669
581_T2,33183,0,0,0,0,0,309475,219813,0,108858,4251,0,0,0,0,0,1059,10,68130,606,5707,3008,192,15042,6337,287,614,22,109,529,72735
582_T2,0,14694,0,0,188012,26717,155966,233353,61866,0,13412,0,0,0,0,0,12,40,21043,1720,3848,2512,486,69794,960,4591,157,427,569,73,232867
583_T2,85806,0,15336,0,71866,8308,205298,259834,0,0,19007,1650,0,0,0,0,5,15,60703,2603,3576,1875,799,25215,585,1370,126,943,1210,68,247987
584_T2,0,0,12793,0,8706,0,376269,643398,56620,0,3901,0,0,0,0,0,58,30,149710,1123,29122,14053,333,31932,914,793,212,768,1039,110,203272
585_T2,54497,0,0,0,66989,0,196318,274295,0,0,15811,0,0,0,0,0,71,8,32456,220,19410,10916,67,2951,1277,499,172,254,342,92,126318
586_T2,55798,0,12555,0,13762,0,0,197124,125196,0,0,1745,0,0,0,0,6,50,136788,1327,14531,7421,326,118275,545,1096,189,497,621,100,433795
