Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,s_Pseudobutyrivibrio_ruminis,s_Parabacteroides_goldsteinii,s_Lactobacillus_reuteri,s_Lactobacillus_murinus,s_Lactobacillus_johnsonii,s_Lactobacillus_gasseri,s_Lactobacillus_animalis,s_Akkermansia_muciniphila,s_Paenibacillus_sp._IHB_B_3084,s_Corynebacterium_uterequi,s_Borrelia_anserina,s_Candidatus_Arthromitus_sp._SFB-mouse-NL,s_Candidatus_Arthromitus_sp._SFB-mouse,s_Entomoplasma_freundtii,s_Bifidobacterium_pseudolongum
T5_596,39523,0,40640,13692,7132,0,455260,981159,31735,0,0,6464,25695,0,4460,11407,196,62,134203,620,26134,10588,170,37127,1562,770,156,38,64,140,514656
T5_597,166966,0,18640,0,51196,5777,689551,0,114149,16659,29282,4084,29934,0,0,0,20,87,92617,452,8851,3065,109,20528,689,818,117,245,302,44,435279
T5_598,0,0,6833,0,0,0,490287,531257,37905,0,0,2247,10928,0,0,9600,34,120,9444,412,3440,2001,87,161918,842,785,74,25,27,29,802291
T5_599,30045,0,0,0,0,0,282225,173068,0,18715,0,0,5410,0,0,0,108,183,49813,749,8545,4670,161,79399,1336,599,121,9,29,101,500426
T5_600,36593,0,16320,0,2899,0,0,372227,296300,0,0,0,13037,0,0,0,33,168,73905,230,4640,2202,57,413600,846,795,133,25,42,63,234305
T5_601,23423,0,0,0,0,0,580942,739987,184057,30446,12370,0,24102,0,0,0,359,354,15257,197,1581,1158,45,24109,2884,532,229,24,41,205,138574
T5_602,41219,0,0,0,11091,0,205955,107071,0,0,0,0,6645,9048,0,0,24,71,79358,162,15741,6376,38,78226,764,1117,123,2097,2546,86,430950
T5_603,160155,0,0,13366,10602,0,508582,38318,167771,0,3845,2306,23144,14156,0,0,33,29,55125,70,10442,4677,12,37544,706,617,138,209,229,86,136934
