Sample,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,Pseudobutyrivibrio_ruminis,Parabacteroides_goldsteinii,Lactobacillus_reuteri,Lactobacillus_murinus,Lactobacillus_johnsonii,Lactobacillus_gasseri,Lactobacillus_animalis,Akkermansia_muciniphila,Paenibacillus_sp._IHB_B_3084,Corynebacterium_uterequi,Borrelia_anserina,Candidatus_Arthromitus_sp._SFB-mouse-NL,Candidatus_Arthromitus_sp._SFB-mouse,Entomoplasma_freundtii,Bifidobacterium_pseudolongum
578_T2,4.011694489374744,-0.4626129905049803,2.1353008898666497,-0.4626129905049803,3.2415266284957083,-0.4626129905049803,5.363334864751936,3.792900586151894,-0.4626129905049803,-0.4626129905049803,1.7210105053762748,-0.4626129905049803,-0.4626129905049803,1.566454586913177,-0.4626129905049803,-0.4626129905049803,-3.988312149655542,-4.750452201702439,3.2128918758393765,-1.6337673177307845,1.3052159890493336,0.5469123300903265,-2.758022037012232,0.1569367424283259,-1.028782924765511,-1.5373070515432232,-2.764536718033426,-3.262375146272605,-2.9507875529672702,-3.5608681348286026,5.344548660718715
580_T2,3.4073977574470935,-1.087005771339383,-1.087005771339383,-1.087005771339383,0.5437944643533559,-1.087005771339383,4.812287668351883,-1.087005771339383,2.919179695173807,-1.087005771339383,1.8430774484836165,-1.087005771339383,-1.087005771339383,-1.087005771339383,-1.087005771339383,3.6505293497087377,-0.8421250139130345,-3.516273663339563,3.573694470876554,-0.7142316741862871,1.1262341930861721,0.5583117489020752,-2.0465976932806216,2.1884503968713016,1.0251692665493666,-1.1879360742431029,-1.1065904347891502,-4.860008410040658,-3.014181719542327,-1.3660292949275368,3.875905231852138
581_T2,2.845697636292267,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,5.0785372531219135,4.736437124601562,-0.7676045196892494,4.033704220320121,0.7908141890806926,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,-0.7676045196892494,-0.5990149936766906,-5.261510246284052,3.5650775844896168,-1.157215353208783,1.0853534312586106,0.44493534579163363,-2.3065999672503157,2.0545062281082513,1.1900654100454195,-1.9046131235184767,-1.144100411130955,-4.473052885919781,-2.8727474570489537,-1.2931069074197978,3.630482638929465
582_T2,-0.9491436185012967,1.6565230025522348,-0.9491436185012967,-0.9491436185012967,4.205589545934298,2.254383822270132,4.018721790131464,4.4216360838918884,3.0940545111180104,-0.9491436185012967,1.5652335839581308,-0.9491436185012967,-0.9491436185012967,-0.9491436185012967,-0.9491436185012967,-0.9491436185012967,-5.4537648738399875,-4.249792069514052,2.015651718610635,-0.4885919538204897,0.31663728815760894,-0.10983699603989905,-1.7524628997274947,3.214631801542326,-1.0717382391661063,0.4931816206212334,-2.8824257182796797,-1.8818875103993635,-1.5947910895016575,-3.6482120824795965,4.4195512304920435
583_T2,3.499282625844923,-0.8905805986588389,1.7773966974694124,-0.8905805986588389,3.3219969656119277,1.1644125977399353,4.371656273862298,4.607236657299773,-0.8905805986588389,-0.8905805986588389,1.9920010240947703,-0.45203102036144127,-0.8905805986588389,-0.8905805986588389,-0.8905805986588389,-0.8905805986588389,-6.251123674821968,-5.152511386153857,3.153186811963966,0.003858317738497874,0.32143854903733704,-0.32419764885155633,-1.1772006414897929,2.274632747254758,-1.4889497400242115,-0.6379955684338965,-3.0242796803045904,-1.0114953046226098,-0.7621859486652811,-3.6410538820799614,4.56057001716227
584_T2,-0.6648042805425192,-0.6648042805425192,1.4052206448158193,-0.6648042805425192,1.0203349416110274,-0.6648042805425192,4.786626811607879,5.323086004794849,2.892684778164675,-0.6648042805425192,0.2175554290054409,-0.6648042805425192,-0.6648042805425192,-0.6648042805425192,-0.6648042805425192,-0.6648042805425192,-3.990989769954796,-4.65023539883906,3.8650225879426663,-1.0276738257627729,2.227816400769634,1.4991583945995295,-2.243290290520772,2.319931140264474,-1.2336022090470662,-1.3756095588663682,-2.6948465058292026,-1.4076430473535435,-1.1054187894019885,-3.3509524147088,4.170867482133609
585_T2,3.4809303359083463,-0.6853686672940862,-0.6853686672940862,-0.6853686672940862,3.687313108433411,-0.6853686672940862,4.762520475087433,5.0969888511859285,-0.6853686672940862,-0.6853686672940862,2.2434905819537954,-0.6853686672940862,-0.6853686672940862,-0.6853686672940862,-0.6853686672940862,-0.6853686672940862,-3.1622907203150348,-5.345529055676513,2.9626700075299333,-2.0313430510039883,2.448573078806706,1.8730142844718793,-3.2202779779653845,0.5649287775865899,-0.27270174132381086,-1.2123645016048314,-2.2774761205428966,-1.8876363303378128,-1.5901598602937446,-2.903182020307309,4.321587218642261
586_T2,3.1400933209281954,-0.7165161976083763,1.648474287086736,-0.7165161976083763,1.7402664652574753,-0.7165161976083763,-0.7165161976083763,4.4021882668242505,3.94823580375102,-0.7165161976083763,-0.7165161976083763,-0.32489014986842246,-0.7165161976083763,-0.7165161976083763,-0.7165161976083763,-0.7165161976083763,-5.9976405152768955,-3.8773769790768036,4.03678757651983,-0.5987239501727419,1.794639592815746,1.122669113465184,-2.0025026031382414,3.891367715994399,-1.488614189841706,-0.7899775169969887,-2.5476529694453074,-1.580809958408321,-1.3580689025714712,-3.184229798516858,5.190927366754665
