,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,591_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5,600_T5,601_T5,602_T5,603_T5
51,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
53,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
58,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,6.394089154,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,6.057719179,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
59,-1.396168242,-1.432958338,6.889912356,-1.694964531,7.075932016,-1.403265256,-1.099959143,-1.713612575,7.104302453,-1.202343544,8.367711468,-1.038308245,-1.095789284,-1.105698796,6.97382524,7.656908168,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,6.875518046,-1.159301768,-1.319760603,-1.101901867,8.523335089,7.738720424,-1.584663851,-1.134309991,6.394297158,-0.880188036,-0.746658736,6.05017315,7.874271566,6.93025859,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,6.784101193,6.224766685,5.585655016,-1.246204902,-1.267727629,-1.601453449,-1.264098419,6.748875624,7.431314563,-1.401341112
61,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,6.911591751,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
64,-1.396168242,6.040879722,7.900954973,7.168681855,7.032464909,7.839608252,7.518556351,5.733671866,8.230044902,7.042391434,-1.16746645,8.705525734,8.473192534,7.204720205,7.787244145,8.399658074,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,6.196067889,7.841946035,7.836024151,6.778646486,7.064565126,-1.319760603,6.76744188,-0.845977339,7.277899679,7.357907624,6.466733564,7.99205498,8.672330263,8.220854025,-1.654642512,-1.28730708,7.319413284,-0.758122024,6.932930845,7.070094404,7.593011563,7.689458837,5.694949681,-1.401786954,7.954874999,5.566723493,7.332968962,7.137520942,7.098124804,7.820628612,6.838973871,7.962594525,7.535894229
67,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,8.258363923,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,9.053193194,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,6.036701082,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
76,-1.396168242,4.969705978,7.169656026,-1.694964531,-1.234701535,-1.403265256,-1.099959143,6.894285953,-1.280469266,-1.202343544,6.484703328,-1.038308245,-1.095789284,-1.105698796,5.681821171,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,6.526053026,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,6.55096047,-1.245910009,-1.401786954,5.775997889,4.860563399,-1.246204902,6.418073336,6.649663406,-1.264098419,4.864603032,-1.109369634,-1.401341112
77,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,8.772772615,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,7.549947828,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,7.606167384,-1.251780258,-1.501884982,-1.245910009,-1.401786954,7.583401036,-1.988021286,8.27871822,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
79,-1.396168242,8.023084947,-1.461383053,8.641341163,-1.234701535,-1.403265256,-1.099959143,8.724866235,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,6.804644523,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,7.211135034,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,9.381707372,8.321933619,-1.251780258,-1.501884982,7.228365846,-1.401786954,-1.462698598,6.728854952,-1.246204902,9.135182157,6.49131607,-1.264098419,-2.07265407,-1.109369634,-1.401341112
