,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,591_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5,600_T5,601_T5,602_T5,603_T5
s_Paraburkholderia_sp._SOS3,0.645409996,0.239641161,0.486013493,0.586924777,0.802235216,0.376564758,0.488115035,-0.161438261,0.301223407,0.257960048,-0.242323389,0.146523989,0.545388859,0.260461982,0.121717307,0.612682252,0.600821544,0.370636902,0.113402921,0.222363322,0.645076504,0.610712749,0.956756849,0.717772807,0.697667424,0.455485722,0.671206067,-0.257724885,0.735142796,0.27933783,0.592046388,0.566511619,0.454098096,0.472840159,0.484972073,0.68068253,0.632816011,0.631359496,0.559519202,0.282924386,0.523269241,0.627791711,0.525936253,0.170879857,0.576564963,0.65849159,-0.403077229,0.659039729,0.630373503,0.574285304,0.37879033,0.439469696,0.709800638,0.662912623,0.724787076,0.153394401,0.507848827,0.636667544,0.683805262,0.686110074,0.468952219,0.421986309,0.726905274,0.365045284
s_Rivularia_sp._PCC_7116,0.290505107,0.471442775,0.468845689,0.193686896,0.369464657,0.274782064,0.299826052,1.101974435,0.350616163,0.994457669,1.428702045,0.353743097,0.184422063,0.505380774,0.284610979,0.379019509,0.197806817,0.230245038,0.496337852,0.477834236,0.301689026,0.518408799,0.308266819,0.300351963,0.219433295,0.281471375,0.251149031,1.405780249,0.213433222,0.425189707,0.288363974,0.50382514,0.466520616,0.482238724,0.318261761,0.292770789,0.263216817,0.358413122,0.646854151,0.236772491,0.412294742,0.546929264,0.281295932,0.148900951,0.266114111,0.707281754,1.602587851,0.239740409,0.220302215,0.423892101,0.136513912,0.179033198,0.466028749,0.599670279,0.513852584,0.504390601,0.780163423,0.459134504,0.47933722,0.402948513,0.472809505,0.653674112,0.351428783,0.330756211
s_Gramella_forsetii,0.534648475,0.406498492,0.435093402,0.499753618,0.573746315,0.274782064,0.53940833,0.416064922,0.31380219,0.482509081,0.498076677,0.548059819,0.504968283,0.472774252,0.181371355,0.509240831,0.52648708,0.500382801,0.570875654,0.235506995,0.531777781,0.56787259,0.72966852,0.618805694,0.495059516,0.42972438,0.784200918,0.579602803,0.575189573,0.405611544,0.577657651,0.570622621,0.43091476,0.394291456,0.34210395,0.37241975,0.466418358,0.500946429,0.446578791,0.330732232,0.462537867,0.366312011,0.412051858,0.291557251,0.66527005,0.648060011,0.650473568,0.531518558,0.53900774,0.452129271,0.299130397,0.3725826,0.595811439,0.660965203,0.580145184,0.431391168,0.545144612,0.625044704,0.603463287,0.65254325,0.441526406,0.406464933,0.501606881,0.403016778
s_Thioflavicoccus_mobilis,0.653270789,0.330056797,0.507066902,0.671149616,0.658875339,0.270008785,0.462621187,-0.059724644,0.386122851,0.089882553,-0.077945147,0.217867038,0.55285556,0.227125562,0.034024221,0.512263504,0.451891104,0.365586386,-0.06564531,0.136053313,0.680400265,0.652824234,0.87645164,0.569828071,0.703796146,0.353848345,0.917627965,-0.144065566,0.585647185,0.233436053,0.59013981,0.615743057,0.307384966,0.362114315,0.370492954,0.619840871,0.52531302,0.653778369,0.553676926,0.344155252,0.533464742,0.550122454,0.480655548,0.383533802,0.618785491,0.679033862,-0.175346514,0.533745731,0.611820095,0.568106088,0.529873523,0.469656449,0.659010212,0.87115978,0.866248724,0.227674475,0.687667254,0.608725213,0.814865021,0.761811782,0.493762652,0.150671214,0.640229299,0.394567724
s_Bacillus_licheniformis,0.343725803,0.545695623,0.429105361,0.427193234,0.183676893,0.548075399,0.409596718,0.506775379,0.558707233,0.644016263,0.678423899,0.735243925,0.390524148,0.483137039,0.849490415,0.286349519,0.502956582,0.529812718,0.664515718,0.55820534,0.317404384,0.368572697,0.268322953,0.33081117,0.387885004,0.551443061,0.246872474,0.692251326,0.232125355,0.496085529,0.227174677,0.202897841,0.462396898,0.616003953,0.610624551,0.327967987,0.453059381,0.358413122,0.51687516,0.817939605,0.477846586,0.418562701,0.464171659,0.688637918,0.363339518,0.342746452,0.710744478,0.273492695,0.480960358,0.528058586,0.620444499,0.618759799,0.363374595,0.350278501,0.41595479,0.914087624,0.321519249,0.386495321,0.442316727,0.465390766,0.234879598,0.391833271,0.354110948,0.449973761
s_Desulfobacterium_autotrophicum,0.217138883,0.462273073,0.451377996,0.478434981,0.446041157,0.425866824,0.464965854,0.579785053,0.50751693,0.535037567,0.702827258,0.635258655,0.328648745,0.354280737,0.561083967,0.161606632,0.407646403,0.446991359,0.440645158,0.376356485,0.495907154,0.427100036,0.533817111,0.349387556,0.37240264,0.447314073,0.302442326,0.758913821,0.40046067,0.536146778,0.332535193,0.488355219,0.466520616,0.57678324,0.610624551,0.536780083,0.453059381,0.604275362,0.493296415,0.757267812,0.500815794,0.521009886,0.462323229,0.466141825,0.331623304,0.497081923,0.697448936,0.481222244,0.521739662,0.576336587,0.557147941,0.623492416,0.527305304,0.559495743,0.46904325,0.253076172,0.575507476,0.475977008,0.455937823,0.389978162,0.519810637,0.434014885,0.453471356,0.448826314
s_Micromonospora_inositola,0.635211608,0.419401897,0.519489422,0.552962621,0.68065711,0.557989856,0.515204728,0.297530402,0.336052799,0.304671837,0.252493889,0.371346802,0.521552411,0.396040458,0.393151148,0.477459582,0.332255557,0.363051531,0.340322437,0.561352471,0.384732669,0.330885055,0.654800149,0.46074234,0.613260699,0.462581545,0.602546918,0.169115083,0.669184828,0.4383678,0.547248245,0.594939929,0.528354866,0.338634048,0.45891696,0.661046555,0.604324056,0.642631757,0.468084996,0.678026707,0.564262015,0.540512129,0.42076862,0.436583023,0.434277458,0.333649573,0.206188468,0.665885722,0.48628235,0.446311919,0.590536869,0.607309293,0.451511465,0.292807147,0.570636396,0.255254822,0.52273744,0.59120517,0.63505998,0.43963827,0.578651137,0.294252942,0.648910489,0.516517152
s_Bordetella_flabilis,0.6317889,0.353152512,0.441045801,0.430281245,0.594682181,0.388323312,0.366606533,0.352807631,0.409112369,0.284332152,0.061359025,0.387325837,0.527019893,0.39501744,0.412393394,0.483690131,0.406455217,0.297497265,0.278126229,0.428830556,0.400162098,0.380826084,0.537416395,0.494204717,0.516165203,0.458532956,0.439851326,0.194470655,0.517025784,0.348881514,0.609043965,0.598935938,0.585674453,0.390197284,0.625194345,0.619102591,0.580931176,0.507383233,0.666238018,0.748407504,0.530077778,0.536211047,0.512829905,0.546184533,0.57819098,0.467833494,0.143315226,0.647193589,0.622993396,0.512890365,0.566076571,0.510654639,0.544876816,0.568088707,0.509348072,0.325625055,0.52273744,0.631319938,0.491378963,0.471425787,0.502209441,0.570937261,0.572959575,0.449973761
s_Blastococcus_saxobsidens,0.671009613,0.612174351,0.563762246,0.482345054,0.656281304,0.477722908,0.504006403,0.141121876,0.421534889,0.321971004,0.128641032,0.214732239,0.478992796,0.436125985,0.506479833,0.648432261,0.318034244,0.428145101,0.389351864,0.499794578,0.514856903,0.325178905,0.633270792,0.577671248,0.567642756,0.511852594,0.730180069,0.103569005,0.715922306,0.526050317,0.565995711,0.434597279,0.594765425,0.444102549,0.302953043,0.641017273,0.660518614,0.554819419,0.287888838,0.479956794,0.575672082,0.385287912,0.454895154,0.491702322,0.570034328,0.468974395,-0.071130818,0.758889505,0.548030357,0.404614395,0.601627556,0.481698193,0.414852148,0.324687879,0.639346142,0.257428736,0.528631366,0.464428323,0.712997958,0.475029395,0.62103036,0.249517049,0.525209043,0.399404493
s_Kiritimatiella_glycovorans,0.525793262,0.173566935,0.487430927,0.485267609,0.609761288,0.443117379,0.407118402,0.397871576,0.340930857,0.281588666,0.177104985,0.497299211,0.311210342,0.242741495,0.485860546,0.442479863,0.287628729,0.370636902,0.286645982,0.490562452,0.558269396,0.602073386,0.701610567,0.390258629,0.60317658,0.422390664,0.62530891,0.090581809,0.55125226,0.40352821,0.495115849,0.584879482,0.478790708,0.34401909,0.51844489,0.602720988,0.447279018,0.453723302,0.501560925,0.551415758,0.464351104,0.641463799,0.449287663,0.386166537,0.494350112,0.629781484,0.265341419,0.548102686,0.55894858,0.568106088,0.607127111,0.532610566,0.44473943,0.750410263,0.649208154,0.16179277,0.617599691,0.577153417,0.758169677,0.696733061,0.628471485,0.522384035,0.597757162,0.393354867
