,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
4432a6cb89ffde9daa52a8b5312c04f0,66.6102961218018,-24.0797597709004,24.0797597709004,2.52881482964997,-9.52215223058995,1.69628920228527E-21,2.98546899602207E-19,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.7253255
99d183823d3f85a8238cefe9557b32b9,89.9758718812584,-9.52723877832769,9.52723877832769,2.09322013100983,-4.55147484833881,5.32711668822476E-06,0.000312524179043,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
ff2bac9eab90ac4b91ef48a71573c99d,52.5030432845373,-8.75015264809889,8.75015264809889,1.89996269492366,-4.60543392324367,4.11606670612901E-06,0.000312524179043,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999
51a9f401d0bd939f2ecafa6df355d122,34.7843773361295,-8.15601987186,8.15601987186,2.55066164369207,-3.19760948773049,0.001385717957251,0.04877727209522,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Anaerostipes,0.9709301
c09074464206817083722a081459ddd1,34.6017634215875,-8.14845860497495,8.14845860497495,2.53821012346118,-3.21031680145672,0.001325887547277,0.04877727209522,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9994223
78294016c5c6f7fa870eb7c560b342a8,18.4004051636013,-7.23714085761795,7.23714085761795,2.90562252821264,-2.49073676547717,0.012747852787065,0.320517441503349,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.916652
752ae73137df0c8eda2cb3d74ee3b19f,13.0277357301616,-6.73988249528385,6.73988249528385,2.95242750142024,-2.28282743337192,0.02244053533379,0.438837135416328,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
c9a4ee42b7aa7f30aeff1b8b5dca052b,10.5088586891566,-6.42885078076054,6.42885078076054,2.31012515971838,-2.7829015037195,0.005387515903736,0.158033799842922,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Anaeroplasmatales, f__Anaeroplasmataceae, g__Anaeroplasma,0.9999955
a3ef50a2bcc5e1c9895430a65c32e2ea,7.33958275889673,-5.91226428911057,5.91226428911057,3.03496767241061,-1.94804852218231,0.051409157508339,0.822546520133415,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999907
73c0a862e965920b132e83a4ef28af02,5.32160646026465,-5.4492088109535,5.4492088109535,3.03612131633131,-1.79479284363316,0.072686711435978,0.984066247133234,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.8838953
57756402af6767f813d99963742f8893,36.1649994655989,5.43605663243933,5.43605663243933,2.30019019299658,2.36330745561413,0.018112635942378,0.398477990732322,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.9995588
8d38fa14aa40fa004dcb465265d9006a,4.19617549138068,-5.10698355027622,5.10698355027622,3.03724562665978,-1.68145226894034,0.092675100206688,0.996455610681228,k__Bacteria,NA,NA,NA, f__, g__,0.8873727
84643fc13d9942ff4c4d4ce9f2bf68d9,3.74194587882212,-4.94453558127487,4.94453558127487,3.03787991415166,-1.62762706920746,0.10360398578534,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9922482
200251de3ea195fcbd76ad8e294663b4,3.27469570560769,-4.75123174710531,4.75123174710531,3.03873361541664,-1.56355651676755,0.117921753342971,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.7300732
28180ce35a01bcafb94b066753031b2a,43.5493387069125,-3.81829765747287,3.81829765747287,2.29976322843903,-1.66030033451076,0.096854048477485,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9193676
dd1d307a75c8a8e9862f1893a6d9eab8,33.5754803214833,3.73826811368768,3.73826811368768,2.78216654719858,1.34365360601859,0.179060426260293,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999956
2be703e8e1b05e3945aaa70fc9821d43,55.0301487451971,3.32731597581887,3.32731597581887,2.53174328551859,1.31423908373764,0.188765759736091,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8304349
7ab74051974b59fd0e1db261c5eeb66e,35.700870167084,-3.06853561957194,3.06853561957194,2.24549771004103,-1.36652805560682,0.171773281180231,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7261396
4153d25d33fe92eec331f0569fa9c841,17.3188806855636,2.76103392651961,2.76103392651961,2.79202589737121,0.988899826867372,0.32271215526269,0.996455610681228,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Odoribacteraceae], g__Odoribacter,1
2e40536ae1185162a31f9547fd870d61,58.4685714308871,2.57827981810729,2.57827981810729,2.31855229369643,1.11202142177987,0.266128939942308,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9991957
32819e6cef57f62d66ad1bb28bd6307b,58.2465935270343,2.47035931483832,2.47035931483832,2.91801633528818,0.846588583128801,0.397224479733796,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Clostridium,0.7798381
878d48c230fdec3720d0c87c28e2b8c4,11.2795760570593,-2.43265330566911,2.43265330566911,2.5104199297534,-0.96902246386646,0.332533981205494,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.978333
b01f32c861fc42f477ca2787f9564c8c,38.5137840317046,-2.39038481882477,2.39038481882477,2.08486631095719,-1.14654105458077,0.251571350279007,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9972621
bf7b5b8347141f99a91cd4fb687a89e9,23.1101604871906,-2.33106316324593,2.33106316324593,2.50655102562386,-0.929988314387394,0.352377134878953,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.793865
0432b7c74cad26c6be25ebb6722afbfd,68.2114470006889,2.23425062558002,2.23425062558002,2.57224979007026,0.868597845436694,0.385067133369108,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9823505
cf5de9860f35515eba0aea110420fced,44.3572824466214,2.10776380553818,2.10776380553818,2.58860841153112,0.814245907627051,0.415504090960466,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8343262
c77b7b306fb194ebdeeaa40339ad9cce,31.9414999865734,-1.92616096971321,1.92616096971321,1.83526826945742,-1.04952556624468,0.293936294777947,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8513484
d78d1f90fbf432bb9c3df53ef801ee85,45.4662228763382,-1.92142989657213,1.92142989657213,1.85381184309225,-1.03647514375951,0.299980529674388,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7267915
41431f6bc3715b410ef73e7de4c2d6f2,12.6849999571149,1.91416277368559,1.91416277368559,2.06741238594368,0.925873708941654,0.35451161585743,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7056976
66e2c989667e6a196ba4722a431fbc34,34.8750806778846,-1.91099204876598,1.91099204876598,2.31995150061818,-0.823720689099219,0.410098281067415,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9346248
88883d70638a5a61d83d762f609bd698,196.202729368468,-1.90768488827071,1.90768488827071,0.954039978397804,-1.9995858994027,0.045544997799823,0.801591961276882,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8861579
4c1ca5d7e3a151ae13b947bed389961b,48.0908167874528,1.85101919741384,1.85101919741384,1.46693345016314,1.26182901972,0.207010317478722,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9795865
cf94770985ba174185d17a5ab37963ca,13.8922398950347,-1.81375713893386,1.81375713893386,2.05401810884097,-0.883028796643531,0.377220712962559,0.996455610681228,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,0.9983614
2f0cc48595b8d7e288d43d7dfc66ba25,38.6368134949116,-1.80344222542289,1.80344222542289,2.59312942219282,-0.695469423927886,0.486761166441374,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
00a73e941106c7cab3b93caffda46c28,22.8762364348443,1.74207964491574,1.74207964491574,1.44744410085038,1.20355573240601,0.228761338028641,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9947017
f0ae1bf4cca3475bd198f7d575b7b173,5.30644667956355,-1.73759470476584,1.73759470476584,2.95338196088127,-0.588340664289611,0.556303656193669,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9978029
0b440ee4bbbd92deab23f49b8334ebcb,142.283563100608,-1.70994535191931,1.70994535191931,2.85534338831253,-0.598858042405144,0.549267552854694,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999986
a5315ec52442b33faba7b47d645eec84,3.02177461795968,-1.7022621975133,1.7022621975133,2.97968535944206,-0.571289244389226,0.567803591315201,0.996455610681228,k__Bacteria,NA,NA,NA, f__, g__,0.927208
24613025bd1ef80290ed8782b0095312,39.8620634567114,-1.62985083096644,1.62985083096644,2.91645102329625,-0.558847317492182,0.576265926366532,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.998997
8f2469a6b1a7c2e6b92bcbf8e2195a2f,78.5185047859284,1.62887227242044,1.62887227242044,2.30046256969332,0.708062932159592,0.47890617744631,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
c2324ae27caa7b6227cd290adb9b7dd7,3.99081010580398,1.60969363619844,1.60969363619844,2.94597173871743,0.546404982452154,0.584787585960414,0.996455610681228,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes,0.9966841
997d8b4e348e3300a8816d51ff56255b,0.377337717051218,-1.60899700704703,1.60899700704703,3.09139599198263,-0.520475866314078,0.602731944444163,0.996455610681228,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9998239
cfa254e6f89c8a920b595d0a3c1903b5,19.9480244703407,1.59871333660387,1.59871333660387,2.92142299530337,0.547237883447226,0.584215312720789,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Ruminococcus,0.9990007
39d02e6f215fd48ab9402e36f3891a76,165.999151959202,-1.50067287571118,1.50067287571118,1.38139285692202,-1.08634764411258,0.277325215606375,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9170698
32a785efe029189e18277cb04adaa7b3,49.7246054766298,-1.47695248934477,1.47695248934477,2.10790323470529,-0.700673761977153,0.483506634031843,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9213441
db526850a437eb63165d52ce1643921e,44.683403956641,-1.44730854678354,1.44730854678354,2.61302726528235,-0.553881915436943,0.579659662493696,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus],0.9695632
b99fc3e445618f1a0d9035eff577263e,22.9421635759832,1.43458847280409,1.43458847280409,2.92044435135399,0.491222670323774,0.623268966399171,0.996455610681228,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
