"","rowid","taxa_id","x","y","zero_ind","BA","W.proportion"
"1",1,"141",1.47916949732812,23,"Yes","Tauroursodeoxycholic acid (NIST14)",1
"2",2,"120",1.30916784553139,23,"Yes","Cholic acid (NIST14)",1
"3",3,"149",1.20710868410399,23,"Yes","Taurocholic acid",1
"4",4,"99",-1.18300548893086,23,"Yes","3.beta.-Hydroxy-5-cholenoic acid (NIST14)",1
"5",5,"67",1.0263330950257,23,"Yes","3.beta.-Hydroxy-5-cholenoic acid",1
"6",6,"83",-0.844902767136034,23,"Yes","Cholic acid methyl ester",1
"7",7,"125",0.469772289645459,23,"Yes","Deoxycholic acid (NIST14)",1
"8",8,"90",0.366856651300002,23,"Yes","12-Ketodeoxycholic acid (NIST14)",1
"9",9,"11",-0.343866150198574,23,"Yes",".beta.-Hyodeoxycholic acid",1
"10",10,"76",0.321993112938342,23,"Yes","Cholic acid",1
"11",11,"41",-0.31122237406362,23,"Yes",".beta.-Muricholic acid",1
"12",12,"142",0.28604919955686,23,"Yes","Tauroursodeoxycholic acid (NIST14)",1
"13",13,"84",-0.153309628399287,23,"Yes","Deoxycholic acid",1
"14",14,"115",-0.0724110624016885,23,"Yes","Cholic acid (NIST14)",1
"15",15,"58",-0.0595994693712587,23,"Yes",".gamma.-Muricholic acid",1
"16",16,"163",-0.036398593949541,23,"Yes","Ursodeoxycholic acid",1
"17",17,"1",0,23,"Yes",".alpha.-Hyodeoxycholic acid methyl ester",1
"18",18,"2",0,23,"Yes",".alpha.-Hyodeoxycholic acid methyl ester",1
"19",19,"9",0,23,"Yes",".beta.-Hyodeoxycholic acid",1
"20",20,"14",0,23,"Yes",".beta.-Hyodeoxycholic acid",1
"21",21,"19",0,23,"Yes",".beta.-Hyodeoxycholic acid",1
"22",22,"23",0,23,"Yes",".beta.-Hyodeoxycholic acid",1
"23",23,"34",0,23,"Yes",".beta.-Muricholic acid",1
"24",24,"39",0,23,"Yes",".beta.-Muricholic acid",1
"25",25,"43",0,23,"Yes",".beta.-Muricholic acid",1
"26",26,"55",0,23,"Yes",".gamma.-Muricholic acid",1
"27",27,"71",0,23,"Yes","Cholic acid",1
"28",28,"72",0,23,"Yes","Cholic acid",1
"29",29,"82",0,23,"Yes","Cholic acid methyl ester",1
"30",30,"88",0,23,"Yes","12-Ketodeoxycholic acid (NIST14)",1
"31",31,"92",0,23,"Yes","12-Ketodeoxycholic acid (NIST14)",1
"32",32,"96",0,23,"Yes","3.beta.-Hydroxy-5-cholenoic acid (NIST14)",1
"33",33,"105",0,23,"Yes","Cholic acid (NIST14)",1
"34",34,"106",0,23,"Yes","Cholic acid (NIST14)",1
"35",35,"119",0,23,"Yes","Cholic acid (NIST14)",1
"36",36,"122",0,23,"Yes","Cholic acid (NIST14)",1
"37",37,"127",0,23,"Yes","Deoxycholic acid (NIST14)",1
"38",38,"133",0,23,"Yes","Deoxycholic acid (NIST14)",1
"39",39,"138",0,23,"Yes","Taurocholic acid(NIST14)",1
"40",40,"144",0,23,"Yes","Ursodeoxycholic acid (NIST14)",1
"41",41,"153",0,23,"Yes","Ursocholic acid",1
