,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2
phosphoethanolamine (NIST14),19739,0,0,7627,0,0,0,44428,0,0,0,0,0,0,0,0
phosphocholine (NIST14),40686,105964,18305,41646,9347,0,53590,155800,12517,44674,62081,9956,4992,4547,18362,11042
phosphocholine (NIST14).1,0,3279,0,0,0,0,0,4661,0,0,0,0,0,0,0,0
phosphocholine (NIST14).2,0,9120,0,0,0,0,0,3369,0,0,0,0,0,0,1929,0
phosphocholine (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphoethanolamine (NIST14).1,0,0,0,0,0,0,0,5098,0,0,0,0,0,1688,0,0
phosphocholine (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricinoleic Acid methyl ester,0,5362,0,32985,0,0,8228,8180,12225,20479,0,0,0,0,0,0
Phytomonic acid,77078,0,77036,256366,285986,58180,0,0,74901,17437,19721,213155,194580,18640,408415,60321
Phytomonic acid.1,41660,0,35549,0,0,0,0,12629,0,30737,9215,0,0,0,0,0
Phenol,6784,0,7057,36521,18064,9356,0,0,4404,0,0,62465,26338,0,25831,0
PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,0,18258,0,0,0,0,6650,0,0,0,0,0,0,0,0,0
PC(0:0/18:0); [M+H]+ C26H55N1O7P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl-L-carnitine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleic acid methyl ester,0,0,0,0,0,0,0,0,0,0,0,76983,0,0,34538,36464
Oleanolic acid methyl ester,25590,0,6211,26399,9906,15438,0,11657,22332,29956,15512,24991,26220,33232,44299,57174
Oleanolic acid,0,0,11565,13387,0,0,0,13445,0,0,0,0,0,0,0,0
4-dihydroxyheptadec-16-en-2-yl acetate,0,0,20704,18448,0,8158,0,0,0,19891,0,11881,20865,9486,26642,0
4-dihydroxyheptadec-16-en-2-yl acetate.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,0,0
1-Phenanthrenecarboxylic acid,0,3645,0,3535,0,0,0,7714,0,0,0,0,0,0,0,0
1-Phenanthrenecarboxylic acid.1,11875,16535,24074,41436,19203,32738,7927,28828,7102,20866,45960,8178,31590,13641,4692,15009
(E)-3-(4-methoxyphenyl),0,0,3746,0,0,0,0,0,0,2721,0,0,0,0,0,0
(E)-3-(4-methoxyphenyl).1,0,0,0,0,0,1392,0,2169,0,4077,0,0,0,0,0,0
Methyl γ -linolenate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medicagenic acid,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0
Medicagenic acid.1,0,0,0,0,0,0,0,2975,0,0,0,0,0,0,0,0
Linoleic acid methyl ester,7348,0,20002,55187,15882,7283,6080,18174,5588,8713,0,33268,10474,0,20835,0
Hederagenin,0,0,0,0,3442,0,6534,0,0,0,0,0,0,0,0,0
Genistein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinocystic acid,6550,0,0,0,0,30039,25795,0,0,5849,9820,0,0,0,0,0
Daidzin,0,0,0,0,0,0,0,0,0,31185,46275,0,0,45223,0,0
Coproporphyrin I,0,0,0,0,0,0,3741,0,0,0,1700,0,0,0,0,7286
Coproporphyrin I.1,0,0,0,0,0,0,0,3010,0,0,8697,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid",0,0,0,0,0,0,0,2924,0,0,0,0,0,0,0,0
"cis-5,8,11,14-Eicosatetraenoic acid.1",5757,21742,0,0,0,0,16832,20274,0,0,7651,0,0,0,0,0
cis-12-Octadecenoic acid methyl ester,0,0,0,0,0,0,0,0,0,0,0,16268,0,0,0,0
Ceramide (18:1/16:0),0,0,0,0,0,0,0,1486,0,0,0,0,0,0,0,0
Caulophyllogenin,4680,0,0,0,0,0,0,0,10315,0,0,0,6634,0,0,4326
Bacosine,3364,8882,246339,174515,2649,18119,180842,345085,0,0,5328,7021,0,0,0,3776
Bacosine.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-Oxo-10E,12Z-octadecadienoic acid",0,11623,0,0,0,6101,0,0,0,0,0,0,0,0,0,0
5-Hexenoic acid,0,0,10262,0,0,0,0,0,0,0,0,0,0,0,0,9471
4-Cholestenone,0,0,0,0,0,0,0,0,13147,0,0,0,0,5808,0,0
3β -Hydroxy-5-cholestenoic acid,0,0,0,3596,0,0,0,18475,0,0,0,0,0,0,0,0
3-Hydroxykynurenine,0,0,0,0,40331,0,0,6138,0,0,0,0,0,0,0,0
25(S)-26-Hydroxycholesterol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Octadecynoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,16693,0,0
1-Palmitoyl-sn-glycero-3-phosphocholine,77884,316660,44911,113042,20959,12358,120684,219347,64691,130790,101779,23593,32815,0,61503,54530
1-Palmitoyl-sn-glycero-3-phosphocholine.1,2736,2628,0,5958,0,0,0,5893,0,0,0,0,0,0,2503,0
1-Hexadecyl-sn-glycero-3-phosphocholine,0,0,0,0,0,0,0,6811,0,0,0,0,0,12696,0,13191
(+)-Fluprostenol lactone diol,0,0,15551,0,0,0,0,0,9987,0,0,0,0,0,6818,0
