,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
42264f85b88d55214c083f2afc749190,29.1153704227752,2.55502296283758,2.55502296283758,2.89779942392899,0.881711460682584,0.377932861759617,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999389
39b44a0646335aecc771eb7d8d5fb921,49.2882375193808,2.46601460031519,2.46601460031519,2.31127806040989,1.06694847433366,0.285995103770673,0.989543059046529,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
26f30d52a432c32faa6d7d141ee3a18b,35.6396956828468,2.39738137758192,2.39738137758192,2.59710103570437,0.923099003320722,0.355955613991716,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999992
47e13ed5a6f8712dc0cd439dca1aa08c,61.0317665131721,2.23085108613061,2.23085108613061,2.70713938423834,0.824062144387245,0.409904248337689,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999993
e2016db4b16934f9f5dd4d170a365437,16.4661702678774,2.19806659109014,2.19806659109014,2.90094856415449,0.757706157996216,0.448626911683313,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999998
439e4f84c2a2e0c0f39e67ceabe0632a,73.7178567907875,2.18751618888124,2.18751618888124,1.94365657794041,1.12546435090876,0.260392315441585,0.965258996294123,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
37835e4fbbd6bb6b2f6dbbbad70f9372,100.876684342296,2.16371383130639,2.16371383130639,1.55355701073624,1.39274826501604,0.163695927833841,0.858163500462257,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999986
a101944cfe22d9ca0abe99f03b51979e,36.727144606702,2.14895433098743,2.14895433098743,2.85341100041411,0.75311770042085,0.451379188786822,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides,0.9572033
14aa1ed941114d87293f3a41fdca7ecd,68.3263209999534,2.12979967711463,2.12979967711463,2.33124916136652,0.913587321514016,0.360933730866444,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999996
0a5539fc1f0a39865338cfa87471f9e5,26.8329105417673,2.1205826424796,2.1205826424796,2.89725927235112,0.731927122545285,0.464213050575897,0.993163840265996,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999677
