,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo117687,70.3320386636435,-1.48302695224231,1.48302695224231,0.729644529013427,-2.03253350538728,0.042099675397728,0.212456501425744,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo189205,93.2777052923238,1.46129316658504,1.46129316658504,0.569901396882531,2.56411578314878,0.01034390322515,0.093125425190704,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo142083,402.253211447969,1.45873403067091,1.45873403067091,0.534202318440279,2.73067708678241,0.006320436654479,0.087195832393381,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo498339,29.0325260971589,-1.41618629996781,1.41618629996781,0.881155648838686,-1.60719198910461,0.108012258812532,0.349830748691335,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo424827,7.77491085446538,-1.37511054093325,1.37511054093325,0.626777453836193,-2.1939374693791,0.028239905226479,0.180237042180765,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo471342,17.2656384280217,1.37231507928823,1.37231507928823,0.63764514658724,2.1521610987444,0.031384668341746,0.1891798063933,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo225134,25.2370314849414,1.31986393171255,1.31986393171255,0.64363857683113,2.05062900084505,0.040303089930171,0.212456501425744,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo540876,7.60426057773838,1.31615776275361,1.31615776275361,0.690122697490888,1.90713588690653,0.056502993147322,0.256597501908608,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA
denovo145195,22.9625683112536,1.31611967874227,1.31611967874227,1.06773132236154,1.23263189079381,0.217713133170058,0.537855953962834,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo283898,86.5025876036675,1.30020768629823,1.30020768629823,0.961202706679084,1.35268833229818,0.176155219461584,0.479152245529862,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
