,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo82303,3.30812438888784,0.422648304812288,0.422648304812288,0.632129034653635,0.668610808304149,0.503743776133058,0.927440596058672,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo339174,11.2929933726402,0.421729925304508,0.421729925304508,0.988192698058206,0.426768914740217,0.669547649928692,0.95949192966327,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,NA,NA
denovo90527,2.8322245784772,0.420361191408545,0.420361191408545,0.948985235172384,0.442958621302666,0.657795664651635,0.956951267972511,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo323649,2.54448581217081,0.420100909494233,0.420100909494233,0.894905577957384,0.469436016314828,0.638758009463106,0.956951267972511,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo496634,2.91553243404594,-0.417478211606871,0.417478211606871,0.748902595265221,-0.557453284641139,0.57721776819021,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo81490,2.69675419403222,-0.416658771184886,0.416658771184886,0.701140139112937,-0.59425890480615,0.552338960217418,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA
denovo469451,36.9395914056929,-0.412520087041048,0.412520087041048,0.467612661413608,-0.882183313415825,0.377677684106983,0.897206799254548,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo412191,6.90984221192261,0.405583895171646,0.405583895171646,0.727506321362617,0.557498791779552,0.57718668434982,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_[Paraprevotellaceae],G_CF231",Bacteroidales,[Paraprevotellaceae],CF231,NA,NA
denovo376041,20.4887501851465,-0.401990603443157,0.401990603443157,0.867293587541262,-0.463500029537613,0.643005993681015,0.956951267972511,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo346403,16.0304251825746,0.397403218432345,0.397403218432345,0.676115187343439,0.58777442937468,0.556683709618906,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo149171,191.26700261142,0.393402531364487,0.393402531364487,0.767807959901321,0.512370998882386,0.608391383938789,0.939859793119233,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo115827,4.55253696128537,-0.391265631131794,0.391265631131794,0.69747966850225,-0.560970661656687,0.574817537572609,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo81860,2.25361232217518,-0.390509550323227,0.390509550323227,0.961483391279546,-0.40615319397617,0.684630042881966,0.962550899578565,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo426217,290.011299174327,-0.388523116754254,0.388523116754254,0.359930476314675,-1.079439342654,0.280391920406296,0.880252682416603,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo282301,5.39082569834319,-0.385661515293473,0.385661515293473,0.611966741942565,-0.630200121773395,0.528563659622682,0.931352841286217,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo478486,3.4575901785656,-0.378915487825361,0.378915487825361,0.869294937365531,-0.435888294683615,0.662917778196799,0.95949192966327,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo74248,6.00382514854787,0.377674679232335,0.377674679232335,0.718716234281145,0.525485109724957,0.599246001847058,0.939859793119233,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo556091,7.31856549691102,0.375103256103143,0.375103256103143,0.620820572483483,0.604205583269589,0.545706969376562,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo239877,5.63205070117224,-0.372453481456251,0.372453481456251,0.570048601857002,-0.653371449807857,0.513516840017534,0.928711202313981,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo375272,3.50578801241273,0.369753630099337,0.369753630099337,0.587647612642323,0.629209788561484,0.52921172133158,0.931352841286217,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo87862,5.22750765189962,-0.367640214738904,0.367640214738904,0.633509354348625,-0.580323261551381,0.56169664361227,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo327696,27.4306912784361,0.367126629240413,0.367126629240413,0.436128466844524,0.841785522272021,0.399908017200332,0.897206799254548,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo335483,3.87786047781037,-0.365898907639542,0.365898907639542,0.695296463749133,-0.52624876828305,0.598715373753652,0.939859793119233,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo110619,2.79300728784964,0.365621499721907,0.365621499721907,0.904672601451938,0.404147864249574,0.686103989431745,0.962550899578565,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo414826,1272.49111507577,-0.362684393025118,0.362684393025118,0.432901933195672,-0.83779804434642,0.40214413729762,0.897206799254548,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo440619,3.33399347867509,-0.359365338701241,0.359365338701241,0.698493049381144,-0.514486635220828,0.606911802003942,0.939859793119233,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo322660,2.65993723345199,-0.359051192593055,0.359051192593055,0.731367805925202,-0.490931087866035,0.623475188394084,0.950057519546552,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo49705,5.5683859720177,-0.358807953635036,0.358807953635036,0.665118437788503,-0.539464752816146,0.589566211492179,0.936615825349278,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo142083,535.445598895551,0.357259743090631,0.357259743090631,0.337884932653052,1.05734144546029,0.290355784549589,0.880252682416603,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo365307,9.53040999193143,-0.356906380903596,0.356906380903596,0.634871484350583,-0.562171068793049,0.573999470976643,0.935972129202891,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo552562,9.30963758421968,-0.355239280635034,0.355239280635034,0.63107308335062,-0.562913060320884,0.573494086403938,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo448898,81.0557032308096,-0.354638430536625,0.354638430536625,0.396055621139024,-0.895425823061704,0.370559501683133,0.897206799254548,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo214147,21.4891615017883,-0.354565905109983,0.354565905109983,0.939024735118575,-0.377589526505082,0.70573554633293,0.971832555606002,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo159031,3.70651853917785,0.353639482270491,0.353639482270491,1.12755352260065,0.313634319952137,0.753798790257904,0.977705182835815,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo431357,6.43733644885044,-0.352737804967624,0.352737804967624,0.680170766344213,-0.51860183121883,0.604038431820752,0.939859793119233,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo231256,15.0390443020927,-0.352561552965013,0.352561552965013,0.796193544328256,-0.442808856560709,0.657903996731101,0.956951267972511,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo356692,103.135298341437,0.349759218946552,0.349759218946552,1.00180992490928,0.349127324705058,0.726993723555737,0.97318681719015,Bacteria,Verrucomicrobia,Verrucomicrobiae,"O_Verrucomicrobiales,F_Verrucomicrobiaceae,G_Akkermansia",Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila,NA
denovo122588,7.95920909273264,-0.349521728891417,0.349521728891417,0.532395436409415,-0.656507747791123,0.511497484131185,0.928711202313981,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo296780,5.6937067123342,0.346139504888365,0.346139504888365,0.560450569157169,0.617609337802806,0.536832887767218,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo487681,47.0958220986469,0.345737560865895,0.345737560865895,0.599551244539922,0.576660567406883,0.564168775299132,0.935972129202891,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_[Ruminococcus]",Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus,NA
denovo335938,51.8455805303671,-0.344676197049994,0.344676197049994,0.57142498077898,-0.60318713504636,0.546384205079943,0.935972129202891,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo351446,84.4823105489743,-0.344072168585367,0.344072168585367,1.06358351798046,-0.323502727118877,0.746314542532889,0.977705182835815,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo180181,33.999120884338,-0.340129277353403,0.340129277353403,0.974104396308712,-0.349171278399209,0.726960727345816,0.97318681719015,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo270891,3.72132125645187,-0.340048705762945,0.340048705762945,0.846810155440873,-0.401564274563885,0.688004726403781,0.963206616965293,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo492975,4.49847512763538,0.338221220380996,0.338221220380996,0.762727364651247,0.443436588296063,0.657449976089634,0.956951267972511,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo518659,5.40538599291659,0.335122328385103,0.335122328385103,0.915930963280432,0.365881645910139,0.714453392623082,0.97318681719015,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo206486,10.0579797767886,-0.334279842621048,0.334279842621048,0.651129349001906,-0.51338469558077,0.607682249023413,0.939859793119233,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo336881,11.8837510475309,0.333516230755869,0.333516230755869,0.482980476986155,0.690537706279647,0.489856106332741,0.918939222089787,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Enterococcaceae,G_Enterococcus",Lactobacillales,Enterococcaceae,Enterococcus,NA,NA
denovo200209,5.52735054112556,0.332550137600371,0.332550137600371,0.566227670002733,0.587308171638391,0.556996753950476,0.935972129202891,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo204862,3.437995628359,-0.329793469252551,0.329793469252551,0.648146514208968,-0.508825492419794,0.610874549028756,0.941531415016798,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo336637,19.1108892305152,-0.325112675322933,0.325112675322933,0.476296312659483,-0.682584909187331,0.494869172522977,0.918939222089787,NA,NA,NA,"O_NA,F_NA,G_NA",NA,NA,NA,NA,Unassigned
denovo243736,7.61030367494786,-0.322893963035495,0.322893963035495,1.30615223177876,-0.247210053452781,0.804745665200426,0.986852105621481,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo489238,4.16489316755719,0.322847079740079,0.322847079740079,0.782917263564357,0.412364236637555,0.680072472167974,0.962123581677638,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo428229,5.24346364101457,0.32031204775272,0.32031204775272,0.648888207890734,0.493632098499558,0.621566027457659,0.950057519546552,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo471342,18.4270361583785,-0.319515492740403,0.319515492740403,0.580074393088379,-0.550818130480244,0.581758354228576,0.936615825349278,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
