,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo291148,327.057921678822,6.14165462684321,6.14165462684321,0.94215211961582,6.51875052761923,7.08954502623962E-11,3.91342885448427E-08,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo435460,37.5756184702503,-5.57033732458132,5.57033732458132,1.119703751582,-4.97483134865911,6.53044704978288E-07,0.000180240338574,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo542028,10.7079164994886,-5.46177310197186,5.46177310197186,1.33556585707079,-4.08948242653552,4.32336820573848E-05,0.003409284642239,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo409528,5.41045083819619,5.08660612522885,5.08660612522885,1.96755095001993,2.58524747487597,0.009730912502563,0.134286592535373,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo286244,8.85057520021493,-4.77128285835302,4.77128285835302,1.40962151373325,-3.38479713303802,0.000712308778771,0.030245726606279,Bacteria,Firmicutes,Erysipelotrichi,"O_Erysipelotrichales,F_Erysipelotrichaceae,G_NA",Erysipelotrichales,Erysipelotrichaceae,NA,NA,NA
denovo573462,8.54751022080161,-4.72588570290588,4.72588570290588,1.26133779490493,-3.74672488368755,0.000179158391009,0.010988381315247,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo118754,14.5242729491394,4.69682230847381,4.69682230847381,1.12047148540671,4.19182671727604,2.76717323070266E-05,0.002693033421591,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo175813,3.86350457387669,-4.26626491698823,4.26626491698823,1.79366856006557,-2.37851351803383,0.017382599560386,0.184522979948716,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens,NA
denovo501333,7.11702427750263,-3.97452903397213,3.97452903397213,1.24271990397358,-3.19825008134467,0.001382643197955,0.040169423435325,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo356692,51.5260011646888,-3.83740360385188,3.83740360385188,0.897729995181685,-4.27456320324381,1.91512374351013E-05,0.002693033421591,Bacteria,Verrucomicrobia,Verrucomicrobiae,"O_Verrucomicrobiales,F_Verrucomicrobiaceae,G_Akkermansia",Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila,NA
denovo344458,6.58092239096044,3.73040121059522,3.73040121059522,1.30303498497458,2.86285575875616,0.004198416425276,0.089135610259716,Bacteria,Firmicutes,Erysipelotrichi,"O_Erysipelotrichales,F_Erysipelotrichaceae,G_Coprobacillus",Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,NA,NA
denovo31970,7.62452656840549,3.6877528003283,3.6877528003283,1.8160193082242,2.03067929048308,0.042287538491048,0.288181743790847,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_Roseburia",Clostridiales,Lachnospiraceae,Roseburia,NA,NA
denovo294610,5.68907428690536,3.64376911180528,3.64376911180528,1.30914888088773,2.78331148198703,0.005380712167066,0.092817284881884,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo19478,33.636785265068,3.62182631056703,3.62182631056703,1.10191842549268,3.2868370532489,0.001013194425854,0.03279594406968,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo317476,22.3712130504806,3.60820736247239,3.60820736247239,1.06502323422342,3.38791422245675,0.000704262856091,0.030245726606279,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo459684,3.35123427699263,3.58363719209812,3.58363719209812,1.01117465785597,3.54403382665528,0.000394054684232,0.019774380517844,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo474098,28.0256095398944,3.57027780880398,3.57027780880398,1.24708917973982,2.86288893112587,0.004197976914522,0.089135610259716,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo478740,20.3528368371498,3.44895132891778,3.44895132891778,2.21898401835254,1.55429300093762,0.120114542267555,0.525769022770742,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo33944,3.87739682288838,-3.44356966843024,3.44356966843024,1.38481740652193,-2.48665972294429,0.012894867093425,0.161771968990234,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo582922,7.86429823023744,3.37893230440176,3.37893230440176,1.10658441783217,3.05347902062563,0.00226204537805,0.056756774940163,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo154947,8.61857488052183,3.15499351438689,3.15499351438689,0.885798262007552,3.56175175511915,0.000368388626869,0.019774380517844,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo343621,110.910149845408,2.968524682387,2.968524682387,0.994855235721087,2.98387602115333,0.002846220728396,0.065463076753116,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Rikenellaceae,G_NA",Bacteroidales,Rikenellaceae,NA,NA,NA
denovo329043,11.368539283291,2.91317721621087,2.91317721621087,1.07041643903296,2.72153631986698,0.00649792442852,0.099634841237309,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens,NA
denovo328994,29.0771430134493,2.89220809086163,2.89220809086163,0.884036561675228,3.27159329856331,0.001069432958794,0.03279594406968,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo126627,7.68688812724914,-2.86101272664317,2.86101272664317,1.04168258737754,-2.74653023993213,0.006022933331256,0.094990262824386,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo89048,13.3064451806159,2.79643196596723,2.79643196596723,1.10250278519933,2.53643981993355,0.011198598857574,0.143758757427465,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo90825,151.362101672844,-2.77531828890038,2.77531828890038,1.15217691984068,-2.40876053070403,0.01600679699709,0.173250038086146,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo401908,151.427751516591,2.76114613452442,2.76114613452442,0.660710417709359,4.17905645274543,2.92721024085997E-05,0.002693033421591,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_[Ruminococcus]",Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus,NA
denovo300692,5.98884796327024,2.75841731758971,2.75841731758971,1.0221808602592,2.69856091503244,0.006963999162292,0.103895338853653,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo5135,8.385639141338,-2.75487202662942,2.75487202662942,0.826864638672531,-3.33170859870385,0.000863145847734,0.03279594406968,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo323792,24.4828810555591,2.75075880184742,2.75075880184742,0.894956832592033,3.07362176774548,0.002114773638689,0.055588335645541,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_Dorea",Clostridiales,Lachnospiraceae,Dorea,NA,NA
denovo277067,16.7282212050766,2.691828433914,2.691828433914,0.897453258778627,2.99940794418352,0.002705048529462,0.064921164707099,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo26735,16.1076014184567,-2.6749704502329,2.6749704502329,1.13945165158843,-2.34759451750666,0.018895078487447,0.19314969120501,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo497153,3.49908159524551,-2.66282119290217,2.66282119290217,1.20237554811795,-2.21463352034247,0.026785229292883,0.228770616760916,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo401200,25.372089970222,2.603138518051,2.603138518051,0.930271646170789,2.79825632519933,0.005137932088767,0.092817284881884,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo470134,4.6107215756189,2.58230716150431,2.58230716150431,1.19446642137168,2.16189179980371,0.030626517223017,0.248615257457432,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo185041,6.22222808657911,2.57992896230411,2.57992896230411,2.17371374241573,1.18687613367018,0.235276482539676,0.692195131586038,Bacteria,Tenericutes,Mollicutes,"O_RF39,F_NA,G_NA",RF39,NA,NA,NA,NA
denovo204164,4.30327138210883,2.54694132211159,2.54694132211159,1.03585774369709,2.45877519148649,0.013941188534309,0.163829766705058,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo478754,20.2117304780208,2.53107964660086,2.53107964660086,1.03581338602954,2.44356723010016,0.01454285972563,0.163829766705058,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_[Odoribacteraceae],G_Odoribacter",Bacteroidales,[Odoribacteraceae],Odoribacter,NA,NA
denovo562122,15.1673370732703,-2.51881093352483,2.51881093352483,0.968738136224514,-2.60009474112525,0.009319802632826,0.131911052649232,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo383819,10.8159745714704,-2.51542398541335,2.51542398541335,1.39785296680484,-1.79949110897049,0.071941029090607,0.409396371732115,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo262276,46.6734153160873,2.50324304652902,2.50324304652902,0.643397925274105,3.89066073761828,9.99716273654421E-05,0.006898042288216,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_NA,G_NA",Bacteroidales,NA,NA,NA,NA
denovo353614,7.62408915170409,2.45933449387857,2.45933449387857,0.875389542153037,2.80941726563215,0.004963127384904,0.092817284881884,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,NA,NA
denovo539503,10.1783650238347,2.4241857971186,2.4241857971186,1.00605550178521,2.40959449336242,0.015970259857306,0.173250038086146,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo506625,85.1127569006581,2.41316599825115,2.41316599825115,1.02691794321119,2.34991122144107,0.018777889211237,0.19314969120501,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo560431,4.21729649748215,2.40747848533296,2.40747848533296,1.13354350500996,2.12385186337582,0.033682532622605,0.258232750106636,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Clostridiaceae,G_Clostridium",Clostridiales,Clostridiaceae,Clostridium,NA,NA
denovo122045,29.010339603734,-2.39204924763237,2.39204924763237,1.05667811882047,-2.26374446960492,0.023589835681667,0.220704903326785,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Bacteroidaceae,G_Bacteroides",Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA
denovo533959,171.28991893568,2.35744060532071,2.35744060532071,0.845298909624302,2.78888400124459,0.005289000499715,0.092817284881884,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo379803,92.4943590626222,-2.3395991895616,2.3395991895616,0.706001110753552,-3.31387465816367,0.000920127441221,0.03279594406968,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo25015,72.1997143033433,2.28173698968856,2.28173698968856,0.982614089806587,2.32210896765961,0.020227068935711,0.203006219136592,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo465623,4.43354565854229,2.27246666900199,2.27246666900199,1.93340285219558,1.17537153026405,0.239846108360219,0.692195131586038,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo12325,11.1703695124146,2.25704267091869,2.25704267091869,0.798789821681801,2.82557765466594,0.004719544668768,0.092817284881884,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
